Point	Label	1	2	3	4	5
1	N	0	1	1	1	0
2	N	0	1	1	1	0
3	K	0	1	0	1	1
4	R	1	0	0	1	0
5	V	1	0	1	1	0
6	V	1	0	1	1	0
7	O	0	1	1	1	1
8	W	1	0	1	1	1
9	R	1	0	0	1	0
10	D	0	0	1	0	0
11	I	0	1	0	0	1
12	A	0	0	0	0	1
13	L	0	1	1	0	0
14	L	0	1	1	0	0
15	I	0	1	0	0	1
16	Z	1	1	0	0	0
17	S	1	0	0	1	1
18	Z	1	1	0	0	0
19	Z	1	1	0	0	0
20	Q	1	0	0	0	1
21	H	0	1	0	0	0
22	O	0	1	1	1	1
23	W	1	0	1	1	1
24	N	0	1	1	1	0
25	C	0	0	0	1	1
26	L	0	1	1	0	0
27	I	0	1	0	0	1
28	Q	1	0	0	0	1
29	O	0	1	1	1	1
30	U	1	0	1	0	1
31	A	0	0	0	0	1
32	F	0	0	1	1	0
33	C	0	0	0	1	1
34	L	0	1	1	0	0
35	A	0	0	0	0	1
36	E	0	0	1	0	1
37	B	0	0	0	1	0
38	N	0	1	1	1	0
39	H	0	1	0	0	0
40	O	0	1	1	1	1
41	Z	1	1	0	0	0
42	Q	1	0	0	0	1
43	H	0	1	0	0	0
44	O	0	1	1	1	1
45	W	1	0	1	1	1
46	N	0	1	1	1	0
47	C	0	0	0	1	1
48	L	0	1	1	0	0
49	J	0	1	0	1	0
50	F	0	0	1	1	0
51	C	0	0	0	1	1
52	L	0	1	1	0	0
53	F	0	0	1	1	0
54	N	0	1	1	1	0
55	N	0	1	1	1	0
56	H	0	1	0	0	0
57	D	0	0	1	0	0
58	L	0	1	1	0	0
59	E	0	0	1	0	1
60	R	1	0	0	1	0
61	W	1	0	1	1	1
62	C	0	0	0	1	1
63	G	0	0	1	1	1
64	A	0	0	0	0	1
65	N	0	1	1	1	0
66	C	0	0	0	1	1
67	G	0	0	1	1	1
68	M	0	1	1	0	1
69	B	0	0	0	1	0
70	H	0	1	0	0	0
71	I	0	1	0	0	1
72	L	0	1	1	0	0
73	M	0	1	1	0	1
74	D	0	0	1	0	0
75	L	0	1	1	0	0
76	V	1	0	1	1	0
77	V	1	0	1	1	0
78	T	1	0	1	0	0
79	E	0	0	1	0	1
80	O	0	1	1	1	1
81	B	0	0	0	1	0
82	K	0	1	0	1	1
83	C	0	0	0	1	1
84	L	0	1	1	0	0
85	J	0	1	0	1	0
86	F	0	0	1	1	0
87	C	0	0	0	1	1
88	N	0	1	1	1	0
89	M	0	1	1	0	1
90	B	0	0	0	1	0
91	H	0	1	0	0	0
92	K	0	1	0	1	1
93	W	1	0	1	1	1
94	R	1	0	0	1	0
95	D	0	0	1	0	0
96	I	0	1	0	0	1
97	A	0	0	0	0	1
98	N	0	1	1	1	0
99	K	0	1	0	1	1
100	V	1	0	1	1	0
101	K	0	1	0	1	1
102	C	0	0	0	1	1
103	S	1	0	0	1	1
104	G	0	0	1	1	1
105	Q	1	0	0	0	1
106	Z	1	1	0	0	0
107	U	1	0	1	0	1
108	L	0	1	1	0	0
109	A	0	0	0	0	1
110	L	0	1	1	0	0
111	L	0	1	1	0	0
112	I	0	1	0	0	1
113	O	0	1	1	1	1
114	V	1	0	1	1	0
115	V	1	0	1	1	0
116	T	1	0	1	0	0
117	E	0	0	1	0	1
118	Q	1	0	0	0	1
119	F	0	0	1	1	0
120	T	1	0	1	0	0
121	E	0	0	1	0	1
122	O	0	1	1	1	1
123	B	0	0	0	1	0
124	J	0	1	0	1	0
125	Z	1	1	0	0	0
126	T	1	0	1	0	0
127	E	0	0	1	0	1
128	O	0	1	1	1	1
129	X	0	0	0	0	0
130	X	0	0	0	0	0
131	L	0	1	1	0	0
132	J	0	1	0	1	0
133	F	0	0	1	1	0
134	C	0	0	0	1	1
135	L	0	1	1	0	0
136	F	0	0	1	1	0
137	N	0	1	1	1	0
138	N	0	1	1	1	0
139	H	0	1	0	0	0
140	D	0	0	1	0	0
141	L	0	1	1	0	0
142	E	0	0	1	0	1
143	R	1	0	0	1	0
144	S	1	0	0	1	1
145	F	0	0	1	1	0
146	N	0	1	1	1	0
147	C	0	0	0	1	1
148	G	0	0	1	1	1
149	L	0	1	1	0	0
150	X	0	0	0	0	0
151	L	0	1	1	0	0
152	I	0	1	0	0	1
153	X	0	0	0	0	0
154	L	0	1	1	0	0
155	I	0	1	0	0	1
156	X	0	0	0	0	0
157	L	0	1	1	0	0
158	I	0	1	0	0	1
159	X	0	0	0	0	0
160	L	0	1	1	0	0
161	I	0	1	0	0	1
162	X	0	0	0	0	0
163	N	0	1	1	1	0
164	K	0	1	0	1	1
165	S	1	0	0	1	1
166	F	0	0	1	1	0
167	N	0	1	1	1	0
168	D	0	0	1	0	0
169	L	0	1	1	0	0
170	E	0	0	1	0	1
171	R	1	0	0	1	0
172	W	1	0	1	1	1
173	C	0	0	0	1	1
174	G	0	0	1	1	1
175	A	0	0	0	0	1
176	L	0	1	1	0	0
177	E	0	0	1	0	1
178	T	1	0	1	0	0
179	I	0	1	0	0	1
180	L	0	1	1	0	0
181	L	0	1	1	0	0
182	J	0	1	0	1	0
183	F	0	0	1	1	0
184	C	0	0	0	1	1
185	N	0	1	1	1	0
186	N	0	1	1	1	0
187	H	0	1	0	0	0
188	D	0	0	1	0	0
189	L	0	1	1	0	0
190	E	0	0	1	0	1
191	T	1	0	1	0	0
192	I	0	1	0	0	1
193	L	0	1	1	0	0
194	L	0	1	1	0	0
195	J	0	1	0	1	0
196	E	0	0	1	0	1
197	I	0	1	0	0	1
198	O	0	1	1	1	1
199	V	1	0	1	1	0
200	V	1	0	1	1	0
201	R	1	0	0	1	0
