Point	Label	1	2	3	4	5
1	L	0	1	1	0	0
2	I	0	1	0	0	1
3	Q	1	0	0	0	1
4	G	0	0	1	1	1
5	L	0	1	1	0	0
6	A	0	0	0	0	1
7	F	0	0	1	1	0
8	N	0	1	1	1	0
9	N	0	1	1	1	0
10	H	0	1	0	0	0
11	D	0	0	1	0	0
12	M	0	1	1	0	1
13	B	0	0	0	1	0
14	H	0	1	0	0	0
15	D	0	0	1	0	0
16	V	1	0	1	1	0
17	V	1	0	1	1	0
18	P	1	0	0	0	0
19	H	0	1	0	0	0
20	T	1	0	1	0	0
21	U	1	0	1	0	1
22	I	0	1	0	0	1
23	M	0	1	1	0	1
24	B	0	0	0	1	0
25	K	0	1	0	1	1
26	C	0	0	0	1	1
27	T	1	0	1	0	0
28	U	1	0	1	0	1
29	J	0	1	0	1	0
30	G	0	0	1	1	1
31	B	0	0	0	1	0
32	H	0	1	0	0	0
33	K	0	1	0	1	1
34	W	1	0	1	1	1
35	R	1	0	0	1	0
36	D	0	0	1	0	0
37	J	0	1	0	1	0
38	Z	1	1	0	0	0
39	P	1	0	0	0	0
40	H	0	1	0	0	0
41	R	1	0	0	1	0
42	D	0	0	1	0	0
43	I	0	1	0	0	1
44	B	0	0	0	1	0
45	J	0	1	0	1	0
46	U	1	0	1	0	1
47	I	0	1	0	0	1
48	L	0	1	1	0	0
49	L	0	1	1	0	0
50	I	0	1	0	0	1
51	U	1	0	1	0	1
52	O	0	1	1	1	1
53	B	0	0	0	1	0
54	K	0	1	0	1	1
55	C	0	0	0	1	1
56	L	0	1	1	0	0
57	I	0	1	0	0	1
58	V	1	0	1	1	0
59	J	0	1	0	1	0
60	Z	1	1	0	0	0
61	S	1	0	0	1	1
62	R	1	0	0	1	0
63	V	1	0	1	1	0
64	I	0	1	0	0	1
65	A	0	0	0	0	1
66	Q	1	0	0	0	1
67	F	0	0	1	1	0
68	R	1	0	0	1	0
69	W	1	0	1	1	1
70	J	0	1	0	1	0
71	F	0	0	1	1	0
72	C	0	0	0	1	1
73	L	0	1	1	0	0
74	A	0	0	0	0	1
75	T	1	0	1	0	0
76	V	1	0	1	1	0
77	R	1	0	0	1	0
78	U	1	0	1	0	1
79	Q	1	0	0	0	1
80	F	0	0	1	1	0
81	S	1	0	0	1	1
82	Z	1	1	0	0	0
83	V	1	0	1	1	0
84	T	1	0	1	0	0
85	E	0	0	1	0	1
86	O	0	1	1	1	1
87	B	0	0	0	1	0
88	J	0	1	0	1	0
89	Z	1	1	0	0	0
90	S	1	0	0	1	1
91	Z	1	1	0	0	0
92	Z	1	1	0	0	0
93	P	1	0	0	0	0
94	K	0	1	0	1	1
95	M	0	1	1	0	1
96	D	0	0	1	0	0
97	L	0	1	1	0	0
98	X	0	0	0	0	0
99	L	0	1	1	0	0
100	I	0	1	0	0	1
101	O	0	1	1	1	1
102	U	1	0	1	0	1
103	A	0	0	0	0	1
104	F	0	0	1	1	0
105	C	0	0	0	1	1
106	N	0	1	1	1	0
107	H	0	1	0	0	0
108	O	0	1	1	1	1
109	W	1	0	1	1	1
110	N	0	1	1	1	0
111	C	0	0	0	1	1
112	L	0	1	1	0	0
113	J	0	1	0	1	0
114	F	0	0	1	1	0
115	C	0	0	0	1	1
116	N	0	1	1	1	0
117	M	0	1	1	0	1
118	B	0	0	0	1	0
119	H	0	1	0	0	0
120	I	0	1	0	0	1
121	M	0	1	1	0	1
122	B	0	0	0	1	0
123	N	0	1	1	1	0
124	Z	1	1	0	0	0
125	S	1	0	0	1	1
126	E	0	0	1	0	1
127	R	1	0	0	1	0
128	U	1	0	1	0	1
129	L	0	1	1	0	0
130	B	0	0	0	1	0
131	N	0	1	1	1	0
132	Z	1	1	0	0	0
133	S	1	0	0	1	1
134	X	0	0	0	0	0
135	N	0	1	1	1	0
136	K	0	1	0	1	1
137	S	1	0	0	1	1
138	F	0	0	1	1	0
139	X	0	0	0	0	0
140	X	0	0	0	0	0
141	L	0	1	1	0	0
142	I	0	1	0	0	1
143	Q	1	0	0	0	1
144	G	0	0	1	1	1
145	L	0	1	1	0	0
146	A	0	0	0	0	1
147	F	0	0	1	1	0
148	M	0	1	1	0	1
149	D	0	0	1	0	0
150	E	0	0	1	0	1
151	I	0	1	0	0	1
152	O	0	1	1	1	1
153	V	1	0	1	1	0
154	V	1	0	1	1	0
155	R	1	0	0	1	0
156	V	1	0	1	1	0
157	X	0	0	0	0	0
158	N	0	1	1	1	0
159	K	0	1	0	1	1
160	R	1	0	0	1	0
161	V	1	0	1	1	0
162	V	1	0	1	1	0
163	O	0	1	1	1	1
164	V	1	0	1	1	0
165	X	0	0	0	0	0
166	M	0	1	1	0	1
167	B	0	0	0	1	0
168	N	0	1	1	1	0
169	W	1	0	1	1	1
170	C	0	0	0	1	1
171	G	0	0	1	1	1
172	A	0	0	0	0	1
173	N	0	1	1	1	0
174	D	0	0	1	0	0
175	L	0	1	1	0	0
176	E	0	0	1	0	1
177	S	1	0	0	1	1
178	F	0	0	1	1	0
179	N	0	1	1	1	0
180	C	0	0	0	1	1
181	G	0	0	1	1	1
182	L	0	1	1	0	0
183	N	0	1	1	1	0
184	M	0	1	1	0	1
185	B	0	0	0	1	0
186	H	0	1	0	0	0
187	I	0	1	0	0	1
188	L	0	1	1	0	0
189	M	0	1	1	0	1
190	D	0	0	1	0	0
191	L	0	1	1	0	0
192	U	1	0	1	0	1
193	A	0	0	0	0	1
194	F	0	0	1	1	0
195	C	0	0	0	1	1
196	M	0	1	1	0	1
197	C	0	0	0	1	1
198	N	0	1	1	1	0
199	H	0	1	0	0	0
200	O	0	1	1	1	1
201	V	1	0	1	1	0
202	V	1	0	1	1	0
203	T	1	0	1	0	0
204	E	0	0	1	0	1
205	O	0	1	1	1	1
206	A	0	0	0	0	1
207	P	1	0	0	0	0
208	W	1	0	1	1	1
209	K	0	1	0	1	1
210	M	0	1	1	0	1
211	D	0	0	1	0	0
212	I	0	1	0	0	1
213	B	0	0	0	1	0
214	J	0	1	0	1	0
215	W	1	0	1	1	1
216	J	0	1	0	1	0
217	F	0	0	1	1	0
218	C	0	0	0	1	1
219	N	0	1	1	1	0
220	M	0	1	1	0	1
221	B	0	0	0	1	0
222	H	0	1	0	0	0
223	I	0	1	0	0	1
224	L	0	1	1	0	0
225	L	0	1	1	0	0
226	J	0	1	0	1	0
227	F	0	0	1	1	0
228	C	0	0	0	1	1
229	N	0	1	1	1	0
230	M	0	1	1	0	1
231	B	0	0	0	1	0
232	H	0	1	0	0	0
233	K	0	1	0	1	1
234	W	1	0	1	1	1
235	S	1	0	0	1	1
236	H	0	1	0	0	0
237	X	0	0	0	0	0
238	N	0	1	1	1	0
239	K	0	1	0	1	1
240	R	1	0	0	1	0
241	V	1	0	1	1	0
242	V	1	0	1	1	0
243	P	1	0	0	0	0
244	H	0	1	0	0	0
245	T	1	0	1	0	0
246	U	1	0	1	0	1
247	I	0	1	0	0	1
248	M	0	1	1	0	1
249	B	0	0	0	1	0
250	K	0	1	0	1	1
251	C	0	0	0	1	1
252	R	1	0	0	1	0
253	D	0	0	1	0	0
254	J	0	1	0	1	0
255	X	0	0	0	0	0
256	X	0	0	0	0	0
257	L	0	1	1	0	0
258	I	0	1	0	0	1
259	O	0	1	1	1	1
260	V	1	0	1	1	0
261	Z	1	1	0	0	0
262	Q	1	0	0	0	1
263	G	0	0	1	1	1
264	L	0	1	1	0	0
265	A	0	0	0	0	1
266	F	0	0	1	1	0
267	M	0	1	1	0	1
268	D	0	0	1	0	0
269	E	0	0	1	0	1
270	I	0	1	0	0	1
271	Q	1	0	0	0	1
272	G	0	0	1	1	1
273	L	0	1	1	0	0
274	B	0	0	0	1	0
275	N	0	1	1	1	0
276	H	0	1	0	0	0
277	O	0	1	1	1	1
278	U	1	0	1	0	1
279	A	0	0	0	0	1
280	F	0	0	1	1	0
281	C	0	0	0	1	1
282	L	0	1	1	0	0
283	A	0	0	0	0	1
284	F	0	0	1	1	0
285	N	0	1	1	1	0
286	N	0	1	1	1	0
287	H	0	1	0	0	0
288	D	0	0	1	0	0
289	L	0	1	1	0	0
290	E	0	0	1	0	1
291	R	1	0	0	1	0
292	V	1	0	1	1	0
293	V	1	0	1	1	0
294	O	0	1	1	1	1
295	V	1	0	1	1	0
296	K	0	1	0	1	1
297	C	0	0	0	1	1
298	S	1	0	0	1	1
299	G	0	0	1	1	1
300	O	0	1	1	1	1
301	V	1	0	1	1	0
302	I	0	1	0	0	1
303	B	0	0	0	1	0
304	K	0	1	0	1	1
305	I	0	1	0	0	1
306	A	0	0	0	0	1
307	X	0	0	0	0	0
308	N	0	1	1	1	0
309	K	0	1	0	1	1
310	T	1	0	1	0	0
311	I	0	1	0	0	1
312	L	0	1	1	0	0
313	L	0	1	1	0	0
314	N	0	1	1	1	0
315	N	0	1	1	1	0
316	J	0	1	0	1	0
317	H	0	1	0	0	0
318	I	0	1	0	0	1
319	L	0	1	1	0	0
320	N	0	1	1	1	0
321	K	0	1	0	1	1
322	T	1	0	1	0	0
323	I	0	1	0	0	1
324	L	0	1	1	0	0
325	L	0	1	1	0	0
326	I	0	1	0	0	1
327	Q	1	0	0	0	1
328	G	0	0	1	1	1
329	L	0	1	1	0	0
330	A	0	0	0	0	1
331	F	0	0	1	1	0
332	N	0	1	1	1	0
333	N	0	1	1	1	0
334	X	0	0	0	0	0
335	M	0	1	1	0	1
336	B	0	0	0	1	0
337	N	0	1	1	1	0
338	W	1	0	1	1	1
339	C	0	0	0	1	1
340	G	0	0	1	1	1
341	A	0	0	0	0	1
342	L	0	1	1	0	0
343	E	0	0	1	0	1
344	T	1	0	1	0	0
345	J	0	1	0	1	0
346	G	0	0	1	1	1
347	A	0	0	0	0	1
348	M	0	1	1	0	1
349	B	0	0	0	1	0
350	H	0	1	0	0	0
351	I	0	1	0	0	1
352	L	0	1	1	0	0
353	M	0	1	1	0	1
354	D	0	0	1	0	0
355	L	0	1	1	0	0
356	U	1	0	1	0	1
357	B	0	0	0	1	0
358	W	1	0	1	1	1
359	M	0	1	1	0	1
360	O	0	1	1	1	1
361	R	1	0	0	1	0
362	B	0	0	0	1	0
363	M	0	1	1	0	1
364	D	0	0	1	0	0
365	E	0	0	1	0	1
366	I	0	1	0	0	1
367	U	1	0	1	0	1
368	O	0	1	1	1	1
369	B	0	0	0	1	0
370	K	0	1	0	1	1
371	C	0	0	0	1	1
372	N	0	1	1	1	0
373	N	0	1	1	1	0
374	K	0	1	0	1	1
375	W	1	0	1	1	1
376	S	1	0	0	1	1
377	H	0	1	0	0	0
378	R	1	0	0	1	0
379	D	0	0	1	0	0
380	I	0	1	0	0	1
381	K	0	1	0	1	1
382	C	0	0	0	1	1
383	T	1	0	1	0	0
384	U	1	0	1	0	1
385	J	0	1	0	1	0
386	G	0	0	1	1	1
387	A	0	0	0	0	1
388	N	0	1	1	1	0
389	C	0	0	0	1	1
390	Q	1	0	0	0	1
391	S	1	0	0	1	1
392	N	0	1	1	1	0
393	V	1	0	1	1	0
394	V	1	0	1	1	0
395	O	0	1	1	1	1
396	V	1	0	1	1	0
397	I	0	1	0	0	1
398	A	0	0	0	0	1
399	L	0	1	1	0	0
400	L	0	1	1	0	0
401	I	0	1	0	0	1
402	V	1	0	1	1	0
403	I	0	1	0	0	1
404	A	0	0	0	0	1
405	Q	1	0	0	0	1
406	F	0	0	1	1	0
407	R	1	0	0	1	0
408	Z	1	1	0	0	0
409	S	1	0	0	1	1
410	Z	1	1	0	0	0
411	X	0	0	0	0	0
412	X	0	0	0	0	0
413	L	0	1	1	0	0
414	J	0	1	0	1	0
415	F	0	0	1	1	0
416	C	0	0	0	1	1
417	L	0	1	1	0	0
418	E	0	0	1	0	1
419	B	0	0	0	1	0
420	N	0	1	1	1	0
421	H	0	1	0	0	0
422	O	0	1	1	1	1
423	V	1	0	1	1	0
424	V	1	0	1	1	0
425	R	1	0	0	1	0
426	U	1	0	1	0	1
427	O	0	1	1	1	1
428	B	0	0	0	1	0
429	J	0	1	0	1	0
430	Z	1	1	0	0	0
431	S	1	0	0	1	1
432	W	1	0	1	1	1
433	R	1	0	0	1	0
434	B	0	0	0	1	0
435	M	0	1	1	0	1
436	D	0	0	1	0	0
437	E	0	0	1	0	1
438	K	0	1	0	1	1
439	M	0	1	1	0	1
440	C	0	0	0	1	1
441	N	0	1	1	1	0
442	N	0	1	1	1	0
443	K	0	1	0	1	1
444	W	1	0	1	1	1
445	R	1	0	0	1	0
446	D	0	0	1	0	0
447	I	0	1	0	0	1
448	B	0	0	0	1	0
449	J	0	1	0	1	0
450	Z	1	1	0	0	0
451	Q	1	0	0	0	1
452	Z	1	1	0	0	0
453	Z	1	1	0	0	0
454	S	1	0	0	1	1
455	F	0	0	1	1	0
456	N	0	1	1	1	0
457	C	0	0	0	1	1
458	G	0	0	1	1	1
459	L	0	1	1	0	0
460	L	0	1	1	0	0
461	N	0	1	1	1	0
462	N	0	1	1	1	0
463	H	0	1	0	0	0
464	D	0	0	1	0	0
465	M	0	1	1	0	1
466	B	0	0	0	1	0
467	G	0	0	1	1	1
468	B	0	0	0	1	0
469	H	0	1	0	0	0
470	D	0	0	1	0	0
471	U	1	0	1	0	1
472	L	0	1	1	0	0
473	A	0	0	0	0	1
474	N	0	1	1	1	0
475	K	0	1	0	1	1
476	T	1	0	1	0	0
477	J	0	1	0	1	0
478	G	0	0	1	1	1
479	A	0	0	0	0	1
480	L	0	1	1	0	0
481	M	0	1	1	0	1
482	D	0	0	1	0	0
483	E	0	0	1	0	1
484	I	0	1	0	0	1
485	O	0	1	1	1	1
486	U	1	0	1	0	1
487	A	0	0	0	0	1
488	F	0	0	1	1	0
489	C	0	0	0	1	1
490	N	0	1	1	1	0
491	H	0	1	0	0	0
492	O	0	1	1	1	1
493	W	1	0	1	1	1
494	N	0	1	1	1	0
495	C	0	0	0	1	1
496	M	0	1	1	0	1
497	D	0	0	1	0	0
498	M	0	1	1	0	1
499	O	0	1	1	1	1
500	T	1	0	1	0	0
501	V	1	0	1	1	0
502	T	1	0	1	0	0
503	X	0	0	0	0	0
504	N	0	1	1	1	0
505	K	0	1	0	1	1
506	R	1	0	0	1	0
507	V	1	0	1	1	0
508	V	1	0	1	1	0
509	P	1	0	0	0	0
510	H	0	1	0	0	0
511	T	1	0	1	0	0
512	U	1	0	1	0	1
513	I	0	1	0	0	1
514	L	0	1	1	0	0
515	L	0	1	1	0	0
516	I	0	1	0	0	1
517	U	1	0	1	0	1
518	Q	1	0	0	0	1
