Point	Label	1	2	3	4	5
1	L	0	1	1	0	0
2	I	0	1	0	0	1
3	Q	1	0	0	0	1
4	G	0	0	1	1	1
5	L	0	1	1	0	0
6	B	0	0	0	1	0
7	N	0	1	1	1	0
8	X	0	0	0	0	0
9	L	0	1	1	0	0
10	I	0	1	0	0	1
11	Q	1	0	0	0	1
12	G	0	0	1	1	1
13	L	0	1	1	0	0
14	A	0	0	0	0	1
15	F	0	0	1	1	0
16	N	0	1	1	1	0
17	X	0	0	0	0	0
18	L	0	1	1	0	0
19	K	0	1	0	1	1
20	K	0	1	0	1	1
21	N	0	1	1	1	0
22	N	0	1	1	1	0
23	K	0	1	0	1	1
24	S	1	0	0	1	1
25	E	0	0	1	0	1
26	R	1	0	0	1	0
27	W	1	0	1	1	1
28	C	0	0	0	1	1
29	G	0	0	1	1	1
30	A	0	0	0	0	1
31	N	0	1	1	1	0
32	C	0	0	0	1	1
33	H	0	1	0	0	0
34	C	0	0	0	1	1
35	G	0	0	1	1	1
36	M	0	1	1	0	1
37	B	0	0	0	1	0
38	H	0	1	0	0	0
39	I	0	1	0	0	1
40	L	0	1	1	0	0
41	M	0	1	1	0	1
42	D	0	0	1	0	0
43	L	0	1	1	0	0
44	U	1	0	1	0	1
45	A	0	0	0	0	1
46	F	0	0	1	1	0
47	C	0	0	0	1	1
48	N	0	1	1	1	0
49	G	0	0	1	1	1
50	L	0	1	1	0	0
51	B	0	0	0	1	0
52	N	0	1	1	1	0
53	H	0	1	0	0	0
54	O	0	1	1	1	1
55	V	1	0	1	1	0
56	V	1	0	1	1	0
57	R	1	0	0	1	0
58	V	1	0	1	1	0
59	I	0	1	0	0	1
60	A	0	0	0	0	1
61	Q	1	0	0	0	1
62	F	0	0	1	1	0
63	R	1	0	0	1	0
64	V	1	0	1	1	0
65	K	0	1	0	1	1
66	C	0	0	0	1	1
67	N	0	1	1	1	0
68	N	0	1	1	1	0
69	K	0	1	0	1	1
70	W	1	0	1	1	1
71	R	1	0	0	1	0
72	D	0	0	1	0	0
73	I	0	1	0	0	1
74	A	0	0	0	0	1
75	N	0	1	1	1	0
76	K	0	1	0	1	1
77	Z	1	1	0	0	0
78	Q	1	0	0	0	1
79	Z	1	1	0	0	0
80	U	1	0	1	0	1
81	L	0	1	1	0	0
82	A	0	0	0	0	1
83	N	0	1	1	1	0
84	K	0	1	0	1	1
85	S	1	0	0	1	1
86	F	0	0	1	1	0
87	N	0	1	1	1	0
88	D	0	0	1	0	0
89	L	0	1	1	0	0
90	E	0	0	1	0	1
91	R	1	0	0	1	0
92	V	1	0	1	1	0
93	V	1	0	1	1	0
94	P	1	0	0	0	0
95	H	0	1	0	0	0
96	R	1	0	0	1	0
97	D	0	0	1	0	0
98	I	0	1	0	0	1
99	A	0	0	0	0	1
100	X	0	0	0	0	0
101	N	0	1	1	1	0
102	K	0	1	0	1	1
103	S	1	0	0	1	1
104	E	0	0	1	0	1
105	T	1	0	1	0	0
106	I	0	1	0	0	1
107	L	0	1	1	0	0
108	L	0	1	1	0	0
109	I	0	1	0	0	1
110	Q	1	0	0	0	1
111	G	0	0	1	1	1
112	L	0	1	1	0	0
113	A	0	0	0	0	1
114	F	0	0	1	1	0
115	M	0	1	1	0	1
116	D	0	0	1	0	0
117	C	0	0	0	1	1
118	L	0	1	1	0	0
119	I	0	1	0	0	1
120	Q	1	0	0	0	1
121	G	0	0	1	1	1
122	L	0	1	1	0	0
123	A	0	0	0	0	1
124	F	0	0	1	1	0
125	N	0	1	1	1	0
126	L	0	1	1	0	0
127	L	0	1	1	0	0
128	E	0	0	1	0	1
129	B	0	0	0	1	0
130	N	0	1	1	1	0
131	H	0	1	0	0	0
132	P	1	0	0	0	0
133	K	0	1	0	1	1
134	N	0	1	1	1	0
135	N	0	1	1	1	0
136	J	0	1	0	1	0
137	G	0	0	1	1	1
138	A	0	0	0	0	1
139	L	0	1	1	0	0
140	M	0	1	1	0	1
141	D	0	0	1	0	0
142	E	0	0	1	0	1
143	I	0	1	0	0	1
144	O	0	1	1	1	1
145	V	1	0	1	1	0
146	W	1	0	1	1	1
147	T	1	0	1	0	0
148	U	1	0	1	0	1
149	V	1	0	1	1	0
150	R	1	0	0	1	0
151	U	1	0	1	0	1
152	O	0	1	1	1	1
153	B	0	0	0	1	0
154	K	0	1	0	1	1
155	C	0	0	0	1	1
156	M	0	1	1	0	1
157	C	0	0	0	1	1
158	M	0	1	1	0	1
159	C	0	0	0	1	1
160	L	0	1	1	0	0
161	I	0	1	0	0	1
162	V	1	0	1	1	0
163	K	0	1	0	1	1
164	C	0	0	0	1	1
165	N	0	1	1	1	0
166	N	0	1	1	1	0
167	K	0	1	0	1	1
168	W	1	0	1	1	1
169	S	1	0	0	1	1
170	G	0	0	1	1	1
171	Q	1	0	0	0	1
172	Z	1	1	0	0	0
173	U	1	0	1	0	1
174	L	0	1	1	0	0
175	A	0	0	0	0	1
176	L	0	1	1	0	0
177	L	0	1	1	0	0
178	I	0	1	0	0	1
179	O	0	1	1	1	1
180	X	0	0	0	0	0
181	L	0	1	1	0	0
182	I	0	1	0	0	1
183	O	0	1	1	1	1
184	V	1	0	1	1	0
185	X	0	0	0	0	0
186	L	0	1	1	0	0
187	I	0	1	0	0	1
188	O	0	1	1	1	1
189	V	1	0	1	1	0
190	W	1	0	1	1	1
191	S	1	0	0	1	1
192	Q	1	0	0	0	1
193	N	0	1	1	1	0
194	D	0	0	1	0	0
195	L	0	1	1	0	0
196	U	1	0	1	0	1
197	X	0	0	0	0	0
198	M	0	1	1	0	1
199	D	0	0	1	0	0
200	L	0	1	1	0	0
201	U	1	0	1	0	1
202	B	0	0	0	1	0
203	W	1	0	1	1	1
204	M	0	1	1	0	1
205	O	0	1	1	1	1
206	R	1	0	0	1	0
207	B	0	0	0	1	0
208	X	0	0	0	0	0
209	N	0	1	1	1	0
210	K	0	1	0	1	1
211	R	1	0	0	1	0
212	V	1	0	1	1	0
213	V	1	0	1	1	0
214	O	0	1	1	1	1
215	V	1	0	1	1	0
216	X	0	0	0	0	0
217	N	0	1	1	1	0
218	K	0	1	0	1	1
219	R	1	0	0	1	0
220	V	1	0	1	1	0
221	U	1	0	1	0	1
222	O	0	1	1	1	1
223	D	0	0	1	0	0
224	M	0	1	1	0	1
225	B	0	0	0	1	0
226	H	0	1	0	0	0
227	I	0	1	0	0	1
228	L	0	1	1	0	0
229	L	0	1	1	0	0
230	J	0	1	0	1	0
231	F	0	0	1	1	0
232	C	0	0	0	1	1
233	N	0	1	1	1	0
234	N	0	1	1	1	0
235	C	0	0	0	1	1
236	Q	1	0	0	0	1
237	S	1	0	0	1	1
238	N	0	1	1	1	0
239	W	1	0	1	1	1
240	C	0	0	0	1	1
241	H	0	1	0	0	0
242	D	0	0	1	0	0
243	V	1	0	1	1	0
244	V	1	0	1	1	0
245	O	0	1	1	1	1
246	V	1	0	1	1	0
247	X	0	0	0	0	0
248	L	0	1	1	0	0
249	I	0	1	0	0	1
250	Q	1	0	0	0	1
251	G	0	0	1	1	1
252	L	0	1	1	0	0
253	A	0	0	0	0	1
254	F	0	0	1	1	0
255	N	0	1	1	1	0
256	N	0	1	1	1	0
257	G	0	0	1	1	1
258	H	0	1	0	0	0
259	D	0	0	1	0	0
260	L	0	1	1	0	0
261	E	0	0	1	0	1
262	R	1	0	0	1	0
263	V	1	0	1	1	0
264	V	1	0	1	1	0
265	V	1	0	1	1	0
266	X	0	0	0	0	0
267	N	0	1	1	1	0
268	K	0	1	0	1	1
269	S	1	0	0	1	1
270	F	0	0	1	1	0
271	M	0	1	1	0	1
272	B	0	0	0	1	0
273	H	0	1	0	0	0
274	D	0	0	1	0	0
275	U	1	0	1	0	1
276	L	0	1	1	0	0
277	A	0	0	0	0	1
278	N	0	1	1	1	0
279	K	0	1	0	1	1
280	S	1	0	0	1	1
281	F	0	0	1	1	0
282	N	0	1	1	1	0
283	C	0	0	0	1	1
284	G	0	0	1	1	1
285	M	0	1	1	0	1
286	B	0	0	0	1	0
287	H	0	1	0	0	0
288	I	0	1	0	0	1
289	L	0	1	1	0	0
290	L	0	1	1	0	0
291	I	0	1	0	0	1
292	Q	1	0	0	0	1
293	G	0	0	1	1	1
294	L	0	1	1	0	0
295	A	0	0	0	0	1
296	F	0	0	1	1	0
297	M	0	1	1	0	1
298	D	0	0	1	0	0
299	E	0	0	1	0	1
300	I	0	1	0	0	1
301	O	0	1	1	1	1
302	V	1	0	1	1	0
303	V	1	0	1	1	0
304	R	1	0	0	1	0
305	V	1	0	1	1	0
306	X	0	0	0	0	0
307	L	0	1	1	0	0
308	I	0	1	0	0	1
309	Q	1	0	0	0	1
310	G	0	0	1	1	1
311	M	0	1	1	0	1
312	D	0	0	1	0	0
313	E	0	0	1	0	1
314	B	0	0	0	1	0
315	W	1	0	1	1	1
316	N	0	1	1	1	0
317	C	0	0	0	1	1
318	N	0	1	1	1	0
319	N	0	1	1	1	0
320	K	0	1	0	1	1
321	R	1	0	0	1	0
322	V	1	0	1	1	0
323	V	1	0	1	1	0
324	O	0	1	1	1	1
325	W	1	0	1	1	1
326	R	1	0	0	1	0
327	D	0	0	1	0	0
328	I	0	1	0	0	1
329	A	0	0	0	0	1
330	N	0	1	1	1	0
331	K	0	1	0	1	1
332	W	1	0	1	1	1
333	S	1	0	0	1	1
334	H	0	1	0	0	0
335	R	1	0	0	1	0
336	D	0	0	1	0	0
337	I	0	1	0	0	1
338	A	0	0	0	0	1
339	L	0	1	1	0	0
340	L	0	1	1	0	0
341	I	0	1	0	0	1
342	U	1	0	1	0	1
343	O	0	1	1	1	1
344	B	0	0	0	1	0
345	K	0	1	0	1	1
346	C	0	0	0	1	1
347	L	0	1	1	0	0
348	J	0	1	0	1	0
349	F	0	0	1	1	0
350	C	0	0	0	1	1
351	N	0	1	1	1	0
352	N	0	1	1	1	0
353	D	0	0	1	0	0
354	L	0	1	1	0	0
355	M	0	1	1	0	1
356	D	0	0	1	0	0
357	E	0	0	1	0	1
358	I	0	1	0	0	1
359	U	1	0	1	0	1
360	Q	1	0	0	0	1
361	F	0	0	1	1	0
362	R	1	0	0	1	0
363	V	1	0	1	1	0
364	K	0	1	0	1	1
365	C	0	0	0	1	1
366	N	0	1	1	1	0
367	N	0	1	1	1	0
368	K	0	1	0	1	1
369	V	1	0	1	1	0
370	K	0	1	0	1	1
371	C	0	0	0	1	1
372	S	1	0	0	1	1
373	G	0	0	1	1	1
374	Q	1	0	0	0	1
375	Z	1	1	0	0	0
376	X	0	0	0	0	0
377	N	0	1	1	1	0
378	K	0	1	0	1	1
379	R	1	0	0	1	0
380	V	1	0	1	1	0
381	U	1	0	1	0	1
382	O	0	1	1	1	1
383	D	0	0	1	0	0
384	N	0	1	1	1	0
385	D	0	0	1	0	0
386	M	0	1	1	0	1
387	B	0	0	0	1	0
388	H	0	1	0	0	0
389	X	0	0	0	0	0
390	X	0	0	0	0	0
391	L	0	1	1	0	0
392	I	0	1	0	0	1
393	X	0	0	0	0	0
394	L	0	1	1	0	0
395	I	0	1	0	0	1
396	O	0	1	1	1	1
397	V	1	0	1	1	0
398	V	1	0	1	1	0
399	R	1	0	0	1	0
400	U	1	0	1	0	1
401	O	0	1	1	1	1
402	B	0	0	0	1	0
403	K	0	1	0	1	1
404	C	0	0	0	1	1
405	L	0	1	1	0	0
406	I	0	1	0	0	1
407	U	1	0	1	0	1
408	Q	1	0	0	0	1
409	F	0	0	1	1	0
410	S	1	0	0	1	1
411	Z	1	1	0	0	0
412	U	1	0	1	0	1
413	A	0	0	0	0	1
414	F	0	0	1	1	0
415	C	0	0	0	1	1
416	L	0	1	1	0	0
417	A	0	0	0	0	1
418	F	0	0	1	1	0
419	N	0	1	1	1	0
420	N	0	1	1	1	0
421	H	0	1	0	0	0
422	D	0	0	1	0	0
423	L	0	1	1	0	0
424	E	0	0	1	0	1
425	R	1	0	0	1	0
426	V	1	0	1	1	0
427	W	1	0	1	1	1
428	U	1	0	1	0	1
429	Q	1	0	0	0	1
430	S	1	0	0	1	1
431	N	0	1	1	1	0
432	W	1	0	1	1	1
433	C	0	0	0	1	1
434	G	0	0	1	1	1
435	A	0	0	0	0	1
436	L	0	1	1	0	0
437	E	0	0	1	0	1
438	T	1	0	1	0	0
439	I	0	1	0	0	1
440	L	0	1	1	0	0
441	L	0	1	1	0	0
442	J	0	1	0	1	0
443	F	0	0	1	1	0
444	C	0	0	0	1	1
445	N	0	1	1	1	0
446	N	0	1	1	1	0
447	G	0	0	1	1	1
448	M	0	1	1	0	1
449	B	0	0	0	1	0
450	H	0	1	0	0	0
451	K	0	1	0	1	1
452	T	1	0	1	0	0
453	I	0	1	0	0	1
454	M	0	1	1	0	1
455	B	0	0	0	1	0
456	N	0	1	1	1	0
457	W	1	0	1	1	1
458	D	0	0	1	0	0
459	V	1	0	1	1	0
460	V	1	0	1	1	0
461	O	0	1	1	1	1
462	V	1	0	1	1	0
463	K	0	1	0	1	1
464	X	0	0	0	0	0
465	L	0	1	1	0	0
466	I	0	1	0	0	1
467	O	0	1	1	1	1
468	W	1	0	1	1	1
469	N	0	1	1	1	0
470	N	0	1	1	1	0
471	X	0	0	0	0	0
472	N	0	1	1	1	0
473	J	0	1	0	1	0
474	G	0	0	1	1	1
475	A	0	0	0	0	1
476	L	0	1	1	0	0
477	L	0	1	1	0	0
478	E	0	0	1	0	1
479	B	0	0	0	1	0
480	N	0	1	1	1	0
481	H	0	1	0	0	0
482	O	0	1	1	1	1
483	V	1	0	1	1	0
484	V	1	0	1	1	0
485	R	1	0	0	1	0
486	V	1	0	1	1	0
487	K	0	1	0	1	1
488	C	0	0	0	1	1
489	N	0	1	1	1	0
490	N	0	1	1	1	0
491	K	0	1	0	1	1
492	Z	1	1	0	0	0
493	Q	1	0	0	0	1
494	Z	1	1	0	0	0
495	X	0	0	0	0	0
496	L	0	1	1	0	0
497	I	0	1	0	0	1
498	O	0	1	1	1	1
499	V	1	0	1	1	0
500	X	0	0	0	0	0
501	N	0	1	1	1	0
502	K	0	1	0	1	1
503	R	1	0	0	1	0
504	V	1	0	1	1	0
505	V	1	0	1	1	0
506	P	1	0	0	0	0
507	H	0	1	0	0	0
508	R	1	0	0	1	0
509	D	0	0	1	0	0
510	I	0	1	0	0	1
511	A	0	0	0	0	1
512	N	0	1	1	1	0
513	K	0	1	0	1	1
514	Z	1	1	0	0	0
515	Q	1	0	0	0	1
516	Z	1	1	0	0	0
517	Z	1	1	0	0	0
518	S	1	0	0	1	1
