Point	Label	1	2	3	4	5		
212	V	1	0	1	1	0		
213	V	1	0	1	1	0		
214	Z	1	1	0	0	0		
215	Z	1	1	0	0	0		
216	Q	1	0	0	0	1		
217	G	0	0	1	1	1		
218	L	0	1	1	0	0		
219	A	0	0	0	0	1		
220	E	0	0	1	0	1		
221	X	0	0	0	0	0		
222	X	0	0	0	0	0		
223	N	0	1	1	1	0		
224	K	0	1	0	1	1		
225	R	1	0	0	1	0		
226	V	1	0	1	1	0		
227	V	1	0	1	1	0		
228	O	0	1	1	1	1		
229	V	1	0	1	1	0		
230	K	0	1	0	1	1		
231	I	0	1	0	0	1		
232	A	0	0	0	0	1		
233	N	0	1	1	1	0		
234	K	0	1	0	1	1		
235	W	1	0	1	1	1		
236	S	1	0	0	1	1		
237	G	0	0	1	1	1		
238	Q	1	0	0	0	1		
239	Z	1	1	0	0	0		
240	X	0	0	0	0	0		
241	X	0	0	0	0	0		
242	N	0	1	1	1	0		
243	K	0	1	0	1	1		
244	R	1	0	0	1	0		
245	V	1	0	1	1	0		
246	U	1	0	1	0	1		
247	O	0	1	1	1	1		
248	D	0	0	1	0	0		
249	M	0	1	1	0	1		
250	B	0	0	0	1	0		
251	G	0	0	1	1	1		
252	A	0	0	0	0	1		
253	L	0	1	1	0	0		
254	L	0	1	1	0	0		
255	A	0	0	0	0	1		
256	S	1	0	0	1	1		
257	Q	1	0	0	0	1		
258	L	0	1	1	0	0		
259	U	1	0	1	0	1		
260	A	0	0	0	0	1		
261	F	0	0	1	1	0		
262	X	0	0	0	0	0		
263	X	0	0	0	0	0		
264	N	0	1	1	1	0		
265	J	0	1	0	1	0		
266	G	0	0	1	1	1		
267	A	0	0	0	0	1		
268	L	0	1	1	0	0		
269	L	0	1	1	0	0		
270	N	0	1	1	1	0		
271	N	0	1	1	1	0		
272	H	0	1	0	0	0		
273	D	0	0	1	0	0		
274	L	0	1	1	0	0		
275	E	0	0	1	0	1		
276	R	1	0	0	1	0		
277	V	1	0	1	1	0		
278	U	1	0	1	0	1		
279	O	0	1	1	1	1		
280	D	0	0	1	0	0		
281	L	0	1	1	0	0		
282	M	0	1	1	0	1		
283	D	0	0	1	0	0		
284	F	0	0	1	1	0		
285	C	0	0	0	1	1		
286	X	0	0	0	0	0		
287	X	0	0	0	0	0		
288	N	0	1	1	1	0		
289	K	0	1	0	1	1		
290	S	1	0	0	1	1		
291	F	0	0	1	1	0		
292	N	0	1	1	1	0		
293	C	0	0	0	1	1		
294	G	0	0	1	1	1		
295	L	0	1	1	0	0		
296	M	0	1	1	0	1		
297	D	0	0	1	0	0		
298	F	0	0	1	1	0		
299	C	0	0	0	1	1		
300	N	0	1	1	1	0		
301	N	0	1	1	1	0		
302	H	0	1	0	0	0		
303	D	0	0	1	0	0		
304	L	0	1	1	0	0		
305	E	0	0	1	0	1		
306	R	1	0	0	1	0		
307	V	1	0	1	1	0		
308	Z	1	1	0	0	0		
309	T	1	0	1	0	0		
310	I	0	1	0	0	1		
311	K	0	1	0	1	1		
312	S	1	0	0	1	1		
313	F	0	0	1	1	0		
314	N	0	1	1	1	0		
315	C	0	0	0	1	1		
316	G	0	0	1	1	1		
317	L	0	1	1	0	0		
318	M	0	1	1	0	1		
319	D	0	0	1	0	0		
320	E	0	0	1	0	1		
321	I	0	1	0	0	1		
322	O	0	1	1	1	1		
323	V	1	0	1	1	0		
324	V	1	0	1	1	0		
325	R	1	0	0	1	0		
326	Z	1	1	0	0	0		
327	S	1	0	0	1	1		
328	R	1	0	0	1	0		
329	U	1	0	1	0	1		
330	O	0	1	1	1	1		
331	B	0	0	0	1	0		
332	K	0	1	0	1	1		
333	C	0	0	0	1	1		
334	L	0	1	1	0	0		
335	J	0	1	0	1	0		
336	J	0	1	0	1	0		
337	X	0	0	0	0	0		
338	L	0	1	1	0	0		
339	I	0	1	0	0	1		
340	X	0	0	0	0	0		
341	X	0	0	0	0	0		
