Point	Label	1	2	3	4	5
1	M	0	1	1	0	1
2	D	0	0	1	0	0
3	N	0	1	1	1	0
4	N	0	1	1	1	0
5	C	0	0	0	1	1
6	L	0	1	1	0	0
7	J	0	1	0	1	0
8	F	0	0	1	1	0
9	C	0	0	0	1	1
10	L	0	1	1	0	0
11	N	0	1	1	1	0
12	N	0	1	1	1	0
13	H	0	1	0	0	0
14	D	0	0	1	0	0
15	L	0	1	1	0	0
16	N	0	1	1	1	0
17	D	0	0	1	0	0
18	M	0	1	1	0	1
19	B	0	0	0	1	0
20	H	0	1	0	0	0
21	D	0	0	1	0	0
22	U	1	0	1	0	1
23	L	0	1	1	0	0
24	A	0	0	0	0	1
25	N	0	1	1	1	0
26	K	0	1	0	1	1
27	S	1	0	0	1	1
28	E	0	0	1	0	1
29	R	1	0	0	1	0
30	V	1	0	1	1	0
31	V	1	0	1	1	0
32	O	0	1	1	1	1
33	V	1	0	1	1	0
34	K	0	1	0	1	1
35	C	0	0	0	1	1
36	S	1	0	0	1	1
37	G	0	0	1	1	1
38	O	0	1	1	1	1
39	Z	1	1	0	0	0
40	P	1	0	0	0	0
41	H	0	1	0	0	0
42	T	1	0	1	0	0
43	U	1	0	1	0	1
44	I	0	1	0	0	1
45	M	0	1	1	0	1
46	B	0	0	0	1	0
47	K	0	1	0	1	1
48	C	0	0	0	1	1
49	T	1	0	1	0	0
50	U	1	0	1	0	1
51	J	0	1	0	1	0
52	G	0	0	1	1	1
53	B	0	0	0	1	0
54	H	0	1	0	0	0
55	K	0	1	0	1	1
56	W	1	0	1	1	1
57	R	1	0	0	1	0
58	D	0	0	1	0	0
59	I	0	1	0	0	1
60	A	0	0	0	0	1
61	L	0	1	1	0	0
62	M	0	1	1	0	1
63	D	0	0	1	0	0
64	I	0	1	0	0	1
65	A	0	0	0	0	1
66	Q	1	0	0	0	1
67	F	0	0	1	1	0
68	R	1	0	0	1	0
69	Z	1	1	0	0	0
70	T	1	0	1	0	0
71	F	0	0	1	1	0
72	R	1	0	0	1	0
73	W	1	0	1	1	1
74	J	0	1	0	1	0
75	F	0	0	1	1	0
76	C	0	0	0	1	1
77	M	0	1	1	0	1
78	C	0	0	0	1	1
79	L	0	1	1	0	0
80	A	0	0	0	0	1
81	T	1	0	1	0	0
82	U	1	0	1	0	1
83	W	1	0	1	1	1
84	T	1	0	1	0	0
85	V	1	0	1	1	0
86	Z	1	1	0	0	0
87	W	1	0	1	1	1
88	U	1	0	1	0	1
89	A	0	0	0	0	1
90	F	0	0	1	1	0
91	C	0	0	0	1	1
92	N	0	1	1	1	0
93	H	0	1	0	0	0
94	O	0	1	1	1	1
95	Q	1	0	0	0	1
96	H	0	1	0	0	0
97	P	1	0	0	0	0
98	K	0	1	0	1	1
99	N	0	1	1	1	0
100	N	0	1	1	1	0
101	J	0	1	0	1	0
102	G	0	0	1	1	1
103	A	0	0	0	0	1
104	L	0	1	1	0	0
105	L	0	1	1	0	0
106	E	0	0	1	0	1
107	X	0	0	0	0	0
108	X	0	0	0	0	0
109	M	0	1	1	0	1
110	C	0	0	0	1	1
111	N	0	1	1	1	0
112	N	0	1	1	1	0
113	K	0	1	0	1	1
114	S	1	0	0	1	1
115	F	0	0	1	1	0
116	N	0	1	1	1	0
117	D	0	0	1	0	0
118	L	0	1	1	0	0
119	E	0	0	1	0	1
120	R	1	0	0	1	0
121	W	1	0	1	1	1
122	C	0	0	0	1	1
123	G	0	0	1	1	1
124	A	0	0	0	0	1
125	N	0	1	1	1	0
126	C	0	0	0	1	1
127	G	0	0	1	1	1
128	L	0	1	1	0	0
129	M	0	1	1	0	1
130	D	0	0	1	0	0
131	E	0	0	1	0	1
132	K	0	1	0	1	1
133	N	0	1	1	1	0
134	N	0	1	1	1	0
135	J	0	1	0	1	0
136	G	0	0	1	1	1
137	A	0	0	0	0	1
138	L	0	1	1	0	0
139	L	0	1	1	0	0
140	E	0	0	1	0	1
141	B	0	0	0	1	0
142	N	0	1	1	1	0
143	H	0	1	0	0	0
144	P	1	0	0	0	0
145	K	0	1	0	1	1
146	I	0	1	0	0	1
