Point	Label	1	2	3	4	5
227	D	0	0	1	0	0
228	L	0	1	1	0	0
229	V	1	0	1	1	0
230	V	1	0	1	1	0
231	T	1	0	1	0	0
232	E	0	0	1	0	1
233	O	0	1	1	1	1
234	B	0	0	0	1	0
235	K	0	1	0	1	1
236	C	0	0	0	1	1
237	N	0	1	1	1	0
238	N	0	1	1	1	0
239	J	0	1	0	1	0
240	G	0	0	1	1	1
241	A	0	0	0	0	1
242	L	0	1	1	0	0
243	L	0	1	1	0	0
244	B	0	0	0	1	0
245	M	0	1	1	0	1
246	D	0	0	1	0	0
247	E	0	0	1	0	1
248	K	0	1	0	1	1
249	N	0	1	1	1	0
250	N	0	1	1	1	0
251	K	0	1	0	1	1
252	W	1	0	1	1	1
253	S	1	0	0	1	1
254	G	0	0	1	1	1
255	X	0	0	0	0	0
256	X	0	0	0	0	0
257	L	0	1	1	0	0
258	I	0	1	0	0	1
259	O	0	1	1	1	1
260	V	1	0	1	1	0
261	V	1	0	1	1	0
262	R	1	0	0	1	0
263	V	1	0	1	1	0
264	K	0	1	0	1	1
265	C	0	0	0	1	1
266	N	0	1	1	1	0
267	N	0	1	1	1	0
268	K	0	1	0	1	1
269	W	1	0	1	1	1
270	R	1	0	0	1	0
271	D	0	0	1	0	0
272	I	0	1	0	0	1
273	A	0	0	0	0	1
274	N	0	1	1	1	0
275	K	0	1	0	1	1
276	Z	1	1	0	0	0
277	Q	1	0	0	0	1
278	Z	1	1	0	0	0
279	Z	1	1	0	0	0
280	S	1	0	0	1	1
281	F	0	0	1	1	0
282	N	0	1	1	1	0
283	C	0	0	0	1	1
284	G	0	0	1	1	1
285	L	0	1	1	0	0
286	L	0	1	1	0	0
287	E	0	0	1	0	1
288	B	0	0	0	1	0
289	N	0	1	1	1	0
290	H	0	1	0	0	0
291	O	0	1	1	1	1
292	U	1	0	1	0	1
293	A	0	0	0	0	1
294	F	0	0	1	1	0
295	C	0	0	0	1	1
296	N	0	1	1	1	0
297	H	0	1	0	0	0
298	O	0	1	1	1	1
299	W	1	0	1	1	1
300	N	0	1	1	1	0
301	C	0	0	0	1	1
302	L	0	1	1	0	0
303	I	0	1	0	0	1
304	Q	1	0	0	0	1
305	G	0	0	1	1	1
306	L	0	1	1	0	0
307	A	0	0	0	0	1
308	F	0	0	1	1	0
309	M	0	1	1	0	1
310	D	0	0	1	0	0
311	E	0	0	1	0	1
312	K	0	1	0	1	1
313	N	0	1	1	1	0
314	N	0	1	1	1	0
315	K	0	1	0	1	1
316	S	1	0	0	1	1
317	E	0	0	1	0	1
318	R	1	0	0	1	0
319	U	1	0	1	0	1
320	L	0	1	1	0	0
321	A	0	0	0	0	1
322	N	0	1	1	1	0
323	J	0	1	0	1	0
324	G	0	0	1	1	1
325	A	0	0	0	0	1
326	N	0	1	1	1	0
327	H	0	1	0	0	0
328	D	0	0	1	0	0
329	M	0	1	1	0	1
330	B	0	0	0	1	0
331	H	0	1	0	0	0
332	D	0	0	1	0	0
333	U	1	0	1	0	1
334	M	0	1	1	0	1
335	R	1	0	0	1	0
336	O	0	1	1	1	1
337	D	0	0	1	0	0
338	M	0	1	1	0	1
339	B	0	0	0	1	0
340	H	0	1	0	0	0
341	K	0	1	0	1	1
342	W	1	0	1	1	1
343	S	1	0	0	1	1
344	G	0	0	1	1	1
345	O	0	1	1	1	1
346	V	1	0	1	1	0
347	I	0	1	0	0	1
348	A	0	0	0	0	1
349	L	0	1	1	0	0
350	L	0	1	1	0	0
351	I	0	1	0	0	1
352	V	1	0	1	1	0
353	I	0	1	0	0	1
354	A	0	0	0	0	1
355	Q	1	0	0	0	1
356	F	0	0	1	1	0
357	R	1	0	0	1	0
358	W	1	0	1	1	1
359	J	0	1	0	1	0
360	F	0	0	1	1	0
361	C	0	0	0	1	1
362	X	0	0	0	0	0
363	X	0	0	0	0	0
364	L	0	1	1	0	0
365	I	0	1	0	0	1
366	O	0	1	1	1	1
367	V	1	0	1	1	0
368	V	1	0	1	1	0
369	R	1	0	0	1	0
370	V	1	0	1	1	0
371	K	0	1	0	1	1
372	C	0	0	0	1	1
373	N	0	1	1	1	0
374	N	0	1	1	1	0
375	K	0	1	0	1	1
376	K	0	1	0	1	1
377	S	1	0	0	1	1
378	G	0	0	1	1	1
379	Q	1	0	0	0	1
380	Z	1	1	0	0	0
381	Z	1	1	0	0	0
382	S	1	0	0	1	1
383	F	0	0	1	1	0
384	N	0	1	1	1	0
385	C	0	0	0	1	1
386	G	0	0	1	1	1
387	L	0	1	1	0	0
388	L	0	1	1	0	0
389	E	0	0	1	0	1
390	B	0	0	0	1	0
391	N	0	1	1	1	0
392	H	0	1	0	0	0
393	O	0	1	1	1	1
394	U	1	0	1	0	1
395	A	0	0	0	0	1
396	F	0	0	1	1	0
397	C	0	0	0	1	1
398	N	0	1	1	1	0
399	H	0	1	0	0	0
400	P	1	0	0	0	0
401	K	0	1	0	1	1
402	N	0	1	1	1	0
403	N	0	1	1	1	0
404	J	0	1	0	1	0
405	G	0	0	1	1	1
406	A	0	0	0	0	1
407	L	0	1	1	0	0
408	M	0	1	1	0	1
409	D	0	0	1	0	0
410	E	0	0	1	0	1
411	K	0	1	0	1	1
412	N	0	1	1	1	0
413	M	0	1	1	0	1
414	B	0	0	0	1	0
415	N	0	1	1	1	0
416	Z	1	1	0	0	0
417	S	1	0	0	1	1
418	E	0	0	1	0	1
419	T	1	0	1	0	0
420	K	0	1	0	1	1
421	R	1	0	0	1	0
422	Z	1	1	0	0	0
