THRESHOLD NUMBER OF HITS =244
********             SOLID SEQUENCES                  ********
Sequence LA -> AL -> LL (LALL)  [COUNT 40]
Sequence LA -> AL -> LL -> LI (LALLI)  [COUNT 40]
Sequence LA -> AL -> LL -> LI -> IO (LALLIO)  [COUNT 26]
Sequence LA -> AL -> LL -> LI -> IO -> OU (LALLIOU)  [COUNT 13]
Sequence LA -> AL -> LL -> LI -> IO -> OV (LALLIOV)  [COUNT 13]
Sequence GL -> LA (GLA)  [COUNT 13]
Sequence IA -> AL (IAL)  [COUNT 15]
Sequence IA -> AL -> LL (IALL)  [COUNT 15]
Sequence IA -> AL -> LL -> LI (IALLI)  [COUNT 8]
Sequence LL -> LJ (LLJ)  [COUNT 14]
Sequence IA -> AL -> LL -> LJ (IALLJ)  [COUNT 7]
Sequence LE -> EB (LEB)  [COUNT 9]
Sequence LE -> EB -> BN (LEBN)  [COUNT 9]
Sequence GL -> LL -> LE -> EB (GLLEB)  [COUNT 8]
Sequence GL -> LL -> LE -> EB -> BN (GLLEBN)  [COUNT 8]
Sequence GA -> AL -> LL -> LE -> EB (GALLEB)  [COUNT 16]
Sequence GA -> AL -> LL -> LE -> EB -> BN (GALLEBN)  [COUNT 8]
Sequence LL -> LE -> EB (LLEB)  [COUNT 8]
Sequence LL -> LE -> EB -> BN (LLEBN)  [COUNT 8]
Sequence EO -> OB (EOB)  [COUNT 27]
Sequence UL -> LA (ULA)  [COUNT 24]
Sequence IL -> LL (ILL)  [COUNT 27]
Sequence IL -> LL -> LI (ILLI)  [COUNT 11]
Sequence KN -> NN (KNN)  [COUNT 6]
Sequence KN -> NN -> NK (KNNK)  [COUNT 6]
Sequence UL -> LA -> AL (ULAL)  [COUNT 12]
Sequence UL -> LA -> AL -> LL (ULALL)  [COUNT 12]
Sequence UL -> LA -> AL -> LL -> LI (ULALLI)  [COUNT 12]
Sequence KK -> KN (KKN)  [COUNT 6]
Sequence KK -> KN -> NN (KKNN)  [COUNT 6]
Sequence KK -> KN -> NN -> NK (KKNNK)  [COUNT 6]
Sequence UL -> LB (ULB)  [COUNT 12]
Sequence UL -> LB -> BN (ULBN)  [COUNT 6]
Sequence IL -> LL -> LJ (ILLJ)  [COUNT 16]
Sequence MD -> DL (MDL)  [COUNT 9]
Sequence LI -> IP (LIP)  [COUNT 13]
Sequence IL -> LL -> LI -> IP (ILLIP)  [COUNT 3]
Sequence DI -> IA (DIA)  [COUNT 8]
Sequence DI -> IA -> AL (DIAL)  [COUNT 5]
Sequence DI -> IA -> AL -> LL (DIALL)  [COUNT 5]
Sequence DI -> IA -> AL -> LL -> LJ (DIALLJ)  [COUNT 3]
Sequence WN -> ND (WND)  [COUNT 3]
Sequence WN -> ND -> DL (WNDL)  [COUNT 3]
Sequence DI -> IA -> AL -> LL -> LI (DIALLI)  [COUNT 2]
Sequence LI -> IO -> OV -> VU -> UU (LIOVUU)  [COUNT 1]
Sequence ZZ -> ZQ (ZZQ)  [COUNT 1]
********             HOLLOW SEQUENCES                  ********
Sequence TI X =93 Y =26 HITS =172

Sequence PK X =100 Y =22 HITS =243

Sequence NM X =25 Y =78 HITS =134

Sequence NW X =78 Y =16 HITS =133

Sequence WC X =100 Y =63 HITS =228

Sequence CG X =46 Y =82 HITS =227

Sequence AN X =43 Y =1 HITS =240

Sequence NC X =87 Y =86 HITS =176

Sequence NH X =60 Y =98 HITS =147

Sequence UQ X =20 Y =60 HITS =134

Sequence QS X =18 Y =69 HITS =94

Sequence SL X =100 Y =8 HITS =92

Sequence UA X =94 Y =63 HITS =76

Sequence AF X =69 Y =64 HITS =155

Sequence FC X =43 Y =90 HITS =133

Sequence CN X =20 Y =12 HITS =88

Sequence NG X =33 Y =53 HITS =150

Sequence OW X =65 Y =36 HITS =164

Sequence CM X =29 Y =15 HITS =182

Sequence LV X =83 Y =9 HITS =75

Sequence VR X =14 Y =59 HITS =239

Sequence VP X =29 Y =44 HITS =149

Sequence PH X =88 Y =61 HITS =123

Sequence RD X =94 Y =56 HITS =206

Sequence IU X =88 Y =1 HITS =179

Sequence UO X =81 Y =28 HITS =230

Sequence BK X =61 Y =62 HITS =188

Sequence KC X =33 Y =91 HITS =217

Sequence KV X =95 Y =2 HITS =35

Sequence VJ X =88 Y =35 HITS =36

Sequence JZ X =51 Y =25 HITS =168

Sequence QZ X =18 Y =21 HITS =92

Sequence ZS X =35 Y =35 HITS =103

Sequence SF X =81 Y =51 HITS =223

Sequence ET X =44 Y =12 HITS =41

Sequence JF X =57 Y =43 HITS =139

Sequence MC X =89 Y =77 HITS =164

Sequence SE X =88 Y =48 HITS =162

Sequence NZ X =71 Y =17 HITS =44

Sequence ZT X =35 Y =35 HITS =103

Sequence UV X =11 Y =43 HITS =93

Sequence RU X =26 Y =24 HITS =203

Sequence LN X =31 Y =71 HITS =83

Sequence NJ X =23 Y =85 HITS =133

Sequence JG X =66 Y =45 HITS =208

Sequence VT X =9 Y =67 HITS =94

Sequence TF X =95 Y =69 HITS =42

Sequence FT X =48 Y =18 HITS =88

Sequence TE X =99 Y =75 HITS =75

Sequence BJ X =54 Y =80 HITS =103

Sequence UJ X =99 Y =13 HITS =60

Sequence BH X =63 Y =72 HITS =194

Sequence HI X =8 Y =99 HITS =83

Sequence FD X =16 Y =94 HITS =41

Sequence KW X =90 Y =6 HITS =64

Sequence IK X =23 Y =93 HITS =100

Sequence KD X =81 Y =65 HITS =46

Sequence IB X =71 Y =80 HITS =50

Sequence QU X =2 Y =31 HITS =105

Sequence OD X =81 Y =100 HITS =238

Sequence LM X =9 Y =83 HITS =140

Sequence DE X =15 Y =100 HITS =103

Sequence EI X =63 Y =53 HITS =50

Sequence OA X =97 Y =89 HITS =100

Sequence AQ X =50 Y =2 HITS =181

Sequence QE X =81 Y =58 HITS =97

Sequence CL X =36 Y =14 HITS =122

Sequence KI X =16 Y =86 HITS =46

Sequence QF X =100 Y =33 HITS =171

Sequence FR X =57 Y =9 HITS =86

Sequence IM X =37 Y =72 HITS =44

Sequence VW X =1 Y =60 HITS =192

Sequence RB X =100 Y =81 HITS =206

Sequence NV X =64 Y =30 HITS =81

Sequence UW X =1 Y =52 HITS =164

Sequence DM X =56 Y =55 HITS =135

Sequence HJ X =26 Y =100 HITS =112

Sequence JH X =10 Y =92 HITS =82

Sequence NL X =16 Y =79 HITS =134

Sequence UZ X =45 Y =33 HITS =181

Sequence ZW X =41 Y =23 HITS =44

Sequence BL X =34 Y =1 HITS =89

Sequence VZ X =34 Y =28 HITS =131

Sequence IQ X =58 Y =1 HITS =176

Sequence QG X =99 Y =40 HITS =241

Sequence QH X =98 Y =47 HITS =149

Sequence ZU X =45 Y =33 HITS =181

Sequence GM X =48 Y =42 HITS =51

Sequence BW X =74 Y =1 HITS =178

Sequence MO X =25 Y =71 HITS =88

Sequence WW X =1 Y =67 HITS =98

Sequence WT X =8 Y =57 HITS =41

Sequence TW X =16 Y =35 HITS =47

Sequence VI X =100 Y =17 HITS =45

Sequence DJ X =27 Y =8 HITS =41

Sequence KL X =48 Y =52 HITS =157

Sequence HD X =71 Y =73 HITS =53

Sequence DU X =50 Y =11 HITS =39

Sequence UM X =73 Y =47 HITS =45

Sequence MR X =100 Y =4 HITS =84

Sequence RO X =93 Y =17 HITS =81

Sequence LK X =48 Y =52 HITS =157

Sequence VK X =87 Y =25 HITS =34

Sequence KZ X =58 Y =26 HITS =42

Sequence DN X =9 Y =12 HITS =58

Sequence UB X =100 Y =55 HITS =103

Sequence WM X =82 Y =35 HITS =44

Sequence OR X =94 Y =11 HITS =39

Sequence BM X =38 Y =7 HITS =41

Sequence LU X =73 Y =9 HITS =49

Sequence RW X =10 Y =26 HITS =48

Sequence WJ X =87 Y =30 HITS =33

