THRESHOLD NUMBER OF HITS =258
********             SOLID SEQUENCES                  ********
Sequence AN -> NH -> HD -> DL -> LE -> ER -> RV -> VW (ANHDLERVW)  [COUNT 6]
Sequence AN -> NH -> HD -> DL -> LE -> ER -> RV -> VW -> WW (ANHDLERVWW)  [COUNT 6]
Sequence LE -> ER (LER)  [COUNT 29]
Sequence LE -> ER -> RV (LERV)  [COUNT 15]
Sequence VV -> VZ (VVZ)  [COUNT 15]
Sequence LL -> LE (LLE)  [COUNT 14]
Sequence FC -> CN -> NN -> NH -> HD -> DL -> LE -> ER -> RV (FCNNHDLERV)  [COUNT 28]
Sequence FC -> CN -> NN -> NH -> HD -> DL -> LE -> ER -> RV -> VV (FCNNHDLERVV)  [COUNT 28]
Sequence GL -> LL -> LE (GLLE)  [COUNT 8]
Sequence DL -> LE (DLE)  [COUNT 28]
Sequence DL -> LE -> ER (DLER)  [COUNT 28]
Sequence IL -> LL -> LI (ILLI)  [COUNT 14]
Sequence DL -> LE -> ER -> RV (DLERV)  [COUNT 14]
Sequence DL -> LE -> ER -> RV -> VV (DLERVV)  [COUNT 14]
Sequence NN -> NH -> HD -> DL -> LE (NNHDLE)  [COUNT 14]
Sequence NN -> NH -> HD -> DL -> LE -> ER (NNHDLER)  [COUNT 14]
Sequence KC -> CN (KCN)  [COUNT 37]
Sequence KC -> CN -> NN (KCNN)  [COUNT 37]
Sequence FC -> CN -> NH -> HO (FCNHO)  [COUNT 14]
Sequence FC -> CN -> NH -> HO -> OV (FCNHOV)  [COUNT 14]
Sequence FC -> CN -> NH -> HO -> OV -> VW (FCNHOVW)  [COUNT 5]
Sequence FC -> CN -> NH -> HO -> OV -> VZ (FCNHOVZ)  [COUNT 5]
Sequence BN -> NH -> HO (BNHO)  [COUNT 9]
Sequence BN -> NH -> HO -> OV (BNHOV)  [COUNT 9]
Sequence BN -> NH -> HO -> OV -> VV (BNHOVV)  [COUNT 9]
Sequence KC -> CN -> NN -> NK (KCNNK)  [COUNT 24]
Sequence FC -> CN -> NH -> HO -> OV -> VV (FCNHOVV)  [COUNT 4]
Sequence FC -> CL (FCL)  [COUNT 7]
Sequence CL -> LJ (CLJ)  [COUNT 11]
Sequence KC -> CL (KCL)  [COUNT 22]
Sequence KC -> CL -> LI (KCLI)  [COUNT 22]
Sequence CL -> LI (CLI)  [COUNT 11]
Sequence FC -> CL -> LA (FCLA)  [COUNT 3]
Sequence IA -> AN (IAN)  [COUNT 19]
Sequence IA -> AN -> NK (IANK)  [COUNT 9]
Sequence JG -> GA (JGA)  [COUNT 42]
Sequence JG -> GA -> AN (JGAN)  [COUNT 25]
Sequence JG -> GA -> AN -> NH (JGANH)  [COUNT 17]
Sequence JG -> GA -> AN -> NH -> HD (JGANHD)  [COUNT 17]
Sequence JG -> GA -> AN -> NH -> HD -> DL (JGANHDL)  [COUNT 9]
Sequence JG -> GA -> AN -> NH -> HD -> DL -> LE (JGANHDLE)  [COUNT 9]
