THRESHOLD NUMBER OF HITS =316
********             SOLID SEQUENCES                  ********
Sequence IA -> AL -> LL -> LI -> IV (IALLIV)  [COUNT 13]
Sequence DI -> IA -> AN -> NK -> KZ (DIANKZ)  [COUNT 2]
Sequence CN -> NN (CNN)  [COUNT 49]
Sequence CN -> NN -> NK (CNNK)  [COUNT 49]
Sequence NN -> NK (NNK)  [COUNT 108]
Sequence NN -> NK -> KZ (NNKZ)  [COUNT 48]
Sequence NN -> NK -> KZ -> ZQ (NNKZQ)  [COUNT 36]
Sequence CN -> NN -> NK -> KZ (CNNKZ)  [COUNT 24]
Sequence CN -> NN -> NK -> KZ -> ZQ (CNNKZQ)  [COUNT 24]
Sequence NN -> NM (NNM)  [COUNT 12]
Sequence NN -> NM -> MB (NNMB)  [COUNT 12]
Sequence NN -> NM -> MB -> BH (NNMBH)  [COUNT 12]
Sequence NN -> NK -> KZ -> ZQ -> QZ (NNKZQZ)  [COUNT 31]
Sequence RD -> DI (RDI)  [COUNT 82]
Sequence RD -> DI -> IA (RDIA)  [COUNT 82]
Sequence RD -> DI -> IA -> AN (RDIAN)  [COUNT 41]
Sequence RD -> DI -> IA -> AN -> NK (RDIANK)  [COUNT 21]
Sequence RD -> DI -> IA -> AL (RDIAL)  [COUNT 41]
Sequence RD -> DI -> IA -> AL -> LM (RDIALM)  [COUNT 41]
Sequence RD -> DI -> IA -> AL -> LM -> MD (RDIALMD)  [COUNT 41]
Sequence RD -> DI -> IA -> AL -> LM -> MD -> DI (RDIALMDI)  [COUNT 21]
Sequence RD -> DI -> IA -> AL -> LM -> MD -> DI -> IA (RDIALMDIA)  [COUNT 21]
Sequence RV -> VK (RVK)  [COUNT 32]
Sequence ZQ -> QZ (ZQZ)  [COUNT 19]
Sequence RD -> DI -> IA -> AN -> NK -> KZ (RDIANKZ)  [COUNT 10]
Sequence CN -> NN -> NK -> KZ -> ZQ -> QZ (CNNKZQZ)  [COUNT 10]
Sequence CL -> LI (CLI)  [COUNT 20]
Sequence CL -> LI -> IV (CLIV)  [COUNT 10]
Sequence RD -> DK (RDK)  [COUNT 9]
Sequence RD -> DK -> KK (RDKK)  [COUNT 9]
Sequence CL -> LA (CLA)  [COUNT 9]
Sequence CL -> LA -> AF (CLAF)  [COUNT 9]
Sequence UL -> LA (ULA)  [COUNT 67]
Sequence UL -> LA -> AN (ULAN)  [COUNT 37]
Sequence UL -> LA -> AN -> NK (ULANK)  [COUNT 37]
Sequence UL -> LA -> AL (ULAL)  [COUNT 30]
Sequence UL -> LA -> AL -> LM (ULALM)  [COUNT 23]
Sequence UL -> LA -> AL -> LM -> MD (ULALMD)  [COUNT 23]
Sequence UL -> LA -> AL -> LM -> MD -> DL (ULALMDL)  [COUNT 23]
Sequence UL -> LA -> AL -> LM -> MD -> DL -> LZ (ULALMDLZ)  [COUNT 7]
Sequence UL -> LA -> AL -> LL (ULALL)  [COUNT 7]
Sequence UL -> LA -> AL -> LL -> LI (ULALLI)  [COUNT 7]
Sequence UL -> LA -> AL -> LL -> LI -> IQ (ULALLIQ)  [COUNT 7]
Sequence LI -> IQ -> QG (LIQG)  [COUNT 60]
Sequence LI -> IQ -> QG -> GL (LIQGL)  [COUNT 54]
Sequence LI -> IQ -> QG -> GL -> LA (LIQGLA)  [COUNT 54]
Sequence LI -> IQ -> QG -> GL -> LA -> AF (LIQGLAF)  [COUNT 54]
Sequence IQ -> QG (IQG)  [COUNT 11]
Sequence IQ -> QG -> GM (IQGM)  [COUNT 11]
Sequence IQ -> QG -> GM -> MD (IQGMD)  [COUNT 11]
Sequence IQ -> QG -> GM -> MD -> DE (IQGMDE)  [COUNT 11]
Sequence UL -> LA -> AL -> LL -> LI -> IQ -> QG (ULALLIQG)  [COUNT 6]
Sequence UL -> LA -> AL -> LL -> LI -> IQ -> QG -> GL (ULALLIQGL)  [COUNT 6]
Sequence UL -> LA -> AL -> LL -> LI -> IQ -> QG -> GL -> LA (ULALLIQGLA)  [COUNT 6]
Sequence UL -> LA -> AL -> LL -> LI -> IQ -> QG -> GL -> LA -> AF (ULALLIQGLAF)  [COUNT 6]
Sequence LI -> IQ -> QG -> GM (LIQGM)  [COUNT 6]
Sequence LI -> IQ -> QG -> GM -> MD (LIQGMD)  [COUNT 6]
Sequence LI -> IQ -> QG -> GM -> MD -> DE (LIQGMDE)  [COUNT 6]
Sequence LL -> LM -> MD -> DE -> EI (LLMDEI)  [COUNT 4]
Sequence LL -> LM -> MD -> DE -> EI -> IQ (LLMDEIQ)  [COUNT 4]
