THRESHOLD NUMBER OF HITS =185
********             SOLID SEQUENCES                  ********
Sequence IA -> AL -> LL -> LI -> IU -> UO (IALLIUO)  [COUNT 12]
Sequence VK -> KC (VKC)  [COUNT 20]
Sequence LA -> AF -> FN (LAFN)  [COUNT 54]
Sequence LA -> AF -> FN -> NN (LAFNN)  [COUNT 54]
Sequence LA -> AF -> FN -> NN -> NH (LAFNNH)  [COUNT 54]
Sequence SG -> GO (SGO)  [COUNT 52]
Sequence SG -> GO -> OU (SGOU)  [COUNT 25]
Sequence RV -> VV -> VO -> OU (RVVOU)  [COUNT 2]
Sequence NH -> HO -> OU (NHOU)  [COUNT 4]
Sequence MB -> BH -> HD (MBHD)  [COUNT 9]
Sequence LA -> AF -> FN -> NN -> NH -> HD (LAFNNHD)  [COUNT 29]
Sequence KW -> WR (KWR)  [COUNT 9]
Sequence IA -> AN -> NK -> KW -> WR (IANKWR)  [COUNT 8]
Sequence ER -> RW (ERW)  [COUNT 15]
Sequence ER -> RW -> WC (ERWC)  [COUNT 15]
Sequence NN -> NK -> KW -> WR (NNKWR)  [COUNT 3]
Sequence ER -> RV (ERV)  [COUNT 16]
Sequence ER -> RV -> VV (ERVV)  [COUNT 16]
Sequence ER -> RV -> VV -> VO (ERVVO)  [COUNT 16]
Sequence ER -> RV -> VV -> VO -> OU (ERVVOU)  [COUNT 8]
Sequence RW -> WC (RWC)  [COUNT 8]
Sequence ER -> RU (ERU)  [COUNT 7]
Sequence RU -> UO (RUO)  [COUNT 7]
Sequence LB -> BN (LBN)  [COUNT 21]
Sequence LB -> BN -> NH (LBNH)  [COUNT 16]
Sequence LB -> BN -> NH -> HO (LBNHO)  [COUNT 16]
Sequence IL -> LL -> LI -> IU -> UO -> OB (ILLIUOB)  [COUNT 6]
Sequence EO -> OB (EOB)  [COUNT 5]
Sequence LI -> IU -> UO -> OB (LIUOB)  [COUNT 1]
Sequence KN -> NN (KNN)  [COUNT 14]
Sequence KN -> NN -> NK (KNNK)  [COUNT 14]
Sequence KN -> NN -> NK -> KW (KNNKW)  [COUNT 9]
Sequence KN -> NN -> NK -> KW -> WR (KNNKWR)  [COUNT 5]
Sequence LB -> BN -> NH -> HO -> OU (LBNHOU)  [COUNT 5]
Sequence IA -> AL -> LL -> LI -> IU -> UO -> OB (IALLIUOB)  [COUNT 5]
Sequence RU -> UO -> OB (RUOB)  [COUNT 5]
Sequence NN -> NK -> KR (NNKR)  [COUNT 3]
Sequence NN -> NK -> KR -> RU (NNKRU)  [COUNT 3]
Sequence KC -> CL (KCL)  [COUNT 8]
Sequence KC -> CL -> LI (KCLI)  [COUNT 8]
