THRESHOLD NUMBER OF HITS =100
********             SOLID SEQUENCES                  ********
Sequence NK -> KR -> RU -> UL -> LA -> AN -> NK -> KR -> RV -> VV (NKRULANKRVV)  [COUNT 22]
Sequence NK -> KR -> RU -> UL -> LA -> AN -> NK -> KR -> RV -> VV -> VO (NKRULANKRVVO)  [COUNT 22]
Sequence DM -> MB (DMB)  [COUNT 23]
Sequence NK -> KS -> SF -> FN -> NC (NKSFNC)  [COUNT 21]
Sequence NK -> KS -> SF -> FN -> NC -> CG (NKSFNCG)  [COUNT 21]
Sequence NK -> KS -> SF -> FN -> NC -> CG -> GL (NKSFNCGL)  [COUNT 21]
Sequence KS -> SF -> FN -> NC (KSFNC)  [COUNT 21]
Sequence KS -> SF -> FN -> NC -> CG (KSFNCG)  [COUNT 21]
Sequence KS -> SF -> FN -> NC -> CG -> GL (KSFNCGL)  [COUNT 21]
Sequence DM -> MB -> BH (DMBH)  [COUNT 2]
Sequence DM -> MB -> BH -> HD (DMBHD)  [COUNT 2]
Sequence ZS -> SF -> FN -> NC (ZSFNC)  [COUNT 20]
Sequence ZS -> SF -> FN -> NC -> CG (ZSFNCG)  [COUNT 20]
Sequence ZQ -> QG (ZQG)  [COUNT 20]
Sequence ZQ -> QG -> GL (ZQGL)  [COUNT 20]
Sequence ZQ -> QG -> GL -> LA (ZQGLA)  [COUNT 20]
Sequence VV -> VR (VVR)  [COUNT 19]
Sequence VV -> VR -> RV (VVRV)  [COUNT 10]
Sequence VV -> VR -> RZ (VVRZ)  [COUNT 9]
Sequence VV -> VR -> RZ -> ZS (VVRZS)  [COUNT 9]
Sequence LL -> LN (LLN)  [COUNT 30]
Sequence LL -> LN -> NN (LLNN)  [COUNT 30]
Sequence LL -> LN -> NN -> NH (LLNNH)  [COUNT 30]
Sequence LL -> LN -> NN -> NH -> HC (LLNNHC)  [COUNT 13]
Sequence LL -> LN -> NN -> NH -> HC -> CG (LLNNHCG)  [COUNT 13]
Sequence KS -> SF -> FN -> ND (KSFND)  [COUNT 18]
Sequence KS -> SF -> FN -> ND -> DL (KSFNDL)  [COUNT 18]
Sequence FN -> ND (FND)  [COUNT 18]
Sequence FN -> ND -> DM (FNDM)  [COUNT 18]
Sequence FN -> ND -> DM -> MB (FNDMB)  [COUNT 18]
Sequence FN -> ND -> DM -> MB -> BH (FNDMBH)  [COUNT 18]
Sequence FN -> ND -> DM -> MB -> BH -> HD (FNDMBHD)  [COUNT 18]
Sequence UL -> LN (ULN)  [COUNT 18]
Sequence VR -> RV (VRV)  [COUNT 18]
Sequence NN -> NK (NNK)  [COUNT 4]
Sequence NN -> NK -> KS (NNKS)  [COUNT 4]
