THRESHOLD NUMBER OF HITS =393
********             SOLID SEQUENCES                  ********
Sequence MD -> DE (MDE)  [COUNT 92]
Sequence VK -> KC -> CN (VKCN)  [COUNT 17]
Sequence VK -> KC -> CN -> NN (VKCNN)  [COUNT 17]
Sequence MD -> DL (MDL)  [COUNT 39]
Sequence LI -> IV -> VK -> KC -> CN (LIVKCN)  [COUNT 16]
Sequence LI -> IV -> VK -> KC -> CN -> NN (LIVKCNN)  [COUNT 16]
Sequence LI -> IV -> VK -> KC -> CN -> NN -> NK (LIVKCNNK)  [COUNT 16]
Sequence FC -> CN -> NN -> NH (FCNNH)  [COUNT 17]
Sequence GO -> OV (GOV)  [COUNT 70]
Sequence GO -> OV -> VK (GOVK)  [COUNT 22]
Sequence GO -> OV -> VK -> KC (GOVKC)  [COUNT 22]
Sequence LM -> MD (LMD)  [COUNT 12]
Sequence AL -> LL -> LM (ALLM)  [COUNT 14]
Sequence AL -> LL -> LM -> MD (ALLMD)  [COUNT 14]
Sequence AL -> LL -> LM -> MD -> DE (ALLMDE)  [COUNT 14]
Sequence DL -> LL -> LN -> NN -> ND -> DL -> LM (DLLNNDLM)  [COUNT 14]
Sequence DL -> LL -> LN -> NN -> ND -> DL -> LM -> MD (DLLNNDLMD)  [COUNT 14]
Sequence DL -> LL -> LN -> NN -> ND -> DL -> LM -> MD -> DE (DLLNNDLMDE)  [COUNT 14]
Sequence ND -> DL -> LM (NDLM)  [COUNT 14]
Sequence ND -> DL -> LM -> MD (NDLMD)  [COUNT 14]
Sequence ND -> DL -> LM -> MD -> DE (NDLMDE)  [COUNT 14]
Sequence AL -> LM (ALM)  [COUNT 23]
Sequence AL -> LM -> MD (ALMD)  [COUNT 23]
Sequence AL -> LM -> MD -> DL (ALMDL)  [COUNT 6]
Sequence AL -> LM -> MD -> DE (ALMDE)  [COUNT 13]
Sequence NN -> ND -> DL -> LM (NNDLM)  [COUNT 8]
Sequence NN -> ND -> DL -> LM -> MD (NNDLMD)  [COUNT 8]
Sequence NN -> ND -> DL -> LM -> MD -> DE (NNDLMDE)  [COUNT 8]
Sequence LM -> MD -> DL (LMDL)  [COUNT 6]
Sequence DL -> LM (DLM)  [COUNT 26]
Sequence DL -> LM -> MD (DLMD)  [COUNT 13]
Sequence DL -> LM -> MD -> DE (DLMDE)  [COUNT 13]
Sequence CN -> NN -> ND -> DL -> LM (CNNDLM)  [COUNT 13]
Sequence AF -> FC (AFC)  [COUNT 72]
Sequence AF -> FC -> CN (AFCN)  [COUNT 60]
Sequence AF -> FC -> CN -> NH (AFCNH)  [COUNT 60]
Sequence AF -> FC -> CN -> NH -> HO (AFCNHO)  [COUNT 48]
Sequence AF -> FN (AFN)  [COUNT 19]
Sequence AF -> FN -> NN (AFNN)  [COUNT 19]
Sequence AF -> FN -> NN -> NH (AFNNH)  [COUNT 19]
Sequence MB -> BH (MBH)  [COUNT 141]
Sequence FN -> NC (FNC)  [COUNT 46]
Sequence NC -> CN (NCN)  [COUNT 11]
