THRESHOLD NUMBER OF HITS =341
********             SOLID SEQUENCES                  ********
Sequence FR -> RV -> VK -> KC -> CN -> NN (FRVKCNN)  [COUNT 21]
Sequence FR -> RV -> VK -> KC -> CN -> NN -> NK (FRVKCNNK)  [COUNT 21]
Sequence GA -> AN (GAN)  [COUNT 39]
Sequence GA -> AN -> NC (GANC)  [COUNT 39]
Sequence GA -> AL (GAL)  [COUNT 90]
Sequence GA -> AL -> LL (GALL)  [COUNT 30]
Sequence GA -> AL -> LE (GALE)  [COUNT 20]
Sequence DI -> IA (DIA)  [COUNT 66]
Sequence DI -> IA -> AN (DIAN)  [COUNT 38]
Sequence DI -> IA -> AN -> NK (DIANK)  [COUNT 38]
Sequence GA -> AL -> LL -> LE (GALLE)  [COUNT 20]
Sequence IL -> LL (ILL)  [COUNT 104]
Sequence IL -> LL -> LI (ILLI)  [COUNT 76]
Sequence FC -> CN (FCN)  [COUNT 80]
Sequence FC -> CN -> NH (FCNH)  [COUNT 24]
Sequence FC -> CN -> NH -> HO (FCNHO)  [COUNT 20]
Sequence DI -> IA -> AL (DIAL)  [COUNT 9]
Sequence DI -> IA -> AL -> LL (DIALL)  [COUNT 9]
Sequence DI -> IA -> AL -> LL -> LI (DIALLI)  [COUNT 9]
Sequence MD -> DI (MDI)  [COUNT 9]
Sequence MD -> DI -> IA (MDIA)  [COUNT 9]
Sequence FC -> CN -> NN (FCNN)  [COUNT 9]
Sequence FC -> CN -> NH -> HO -> OV (FCNHOV)  [COUNT 8]
Sequence FC -> CN -> NH -> HO -> OV -> VV (FCNHOVV)  [COUNT 4]
Sequence IL -> LL -> LJ (ILLJ)  [COUNT 24]
Sequence FR -> RV -> VI (FRVI)  [COUNT 33]
Sequence FR -> RV -> VI -> IA (FRVIA)  [COUNT 33]
Sequence RV -> VI (RVI)  [COUNT 13]
Sequence RV -> VI -> IA (RVIA)  [COUNT 13]
Sequence VO -> OV -> VI (VOVI)  [COUNT 13]
Sequence VO -> OV -> VI -> IA (VOVIA)  [COUNT 13]
Sequence VO -> OV -> VI -> IA -> AN (VOVIAN)  [COUNT 13]
Sequence VO -> OV -> VI -> IA -> AN -> NK (VOVIANK)  [COUNT 13]
Sequence KN -> NN -> NK -> KW (KNNKW)  [COUNT 19]
Sequence JZ -> ZQ (JZQ)  [COUNT 49]
Sequence VI -> IA (VIA)  [COUNT 6]
Sequence VI -> IA -> AN (VIAN)  [COUNT 6]
Sequence VI -> IA -> AN -> NK (VIANK)  [COUNT 6]
Sequence VI -> IA -> AN -> NK -> KW (VIANKW)  [COUNT 6]
Sequence VO -> OV -> VI -> IA -> AN -> NK -> KW (VOVIANKW)  [COUNT 6]
Sequence JZ -> ZS (JZS)  [COUNT 6]
Sequence CN -> NN -> NK -> KW (CNNKW)  [COUNT 6]
Sequence RV -> VK -> KC -> CN -> NN -> NK -> KW (RVKCNNKW)  [COUNT 6]
Sequence FR -> RV -> VK -> KC -> CN -> NN -> NK -> KW (FRVKCNNKW)  [COUNT 6]
