THRESHOLD NUMBER OF HITS =168
********             SOLID SEQUENCES                  ********
Sequence SF -> FN -> NC -> CG -> GL (SFNCGL)  [COUNT 13]
Sequence SF -> FN -> NC -> CG -> GL -> LL (SFNCGLL)  [COUNT 13]
Sequence IA -> AQ (IAQ)  [COUNT 13]
Sequence IA -> AQ -> QF (IAQF)  [COUNT 13]
Sequence IO -> OU (IOU)  [COUNT 13]
Sequence IO -> OU -> UA (IOUA)  [COUNT 13]
Sequence IO -> OU -> UA -> AF (IOUAF)  [COUNT 13]
Sequence VR -> RV -> VI -> IA -> AQ (VRVIAQ)  [COUNT 3]
Sequence VR -> RV -> VI -> IA -> AQ -> QF (VRVIAQF)  [COUNT 3]
Sequence IO -> OV (IOV)  [COUNT 30]
Sequence IO -> OV -> VV (IOVV)  [COUNT 17]
Sequence VV -> VR (VVR)  [COUNT 35]
Sequence VV -> VR -> RV (VVRV)  [COUNT 35]
Sequence VV -> VR -> RV -> VI (VVRVI)  [COUNT 35]
Sequence VV -> VR -> RV -> VI -> IA (VVRVIA)  [COUNT 35]
Sequence VV -> VR -> RV -> VI -> IA -> AQ (VVRVIAQ)  [COUNT 35]
Sequence VV -> VR -> RV -> VI -> IA -> AQ -> QF (VVRVIAQF)  [COUNT 35]
Sequence ER -> RV -> VV (ERVV)  [COUNT 24]
Sequence IO -> OV -> VV -> VR (IOVVR)  [COUNT 5]
Sequence IO -> OV -> VV -> VR -> RV (IOVVRV)  [COUNT 5]
Sequence IO -> OV -> VV -> VR -> RV -> VI (IOVVRVI)  [COUNT 5]
Sequence IO -> OV -> VV -> VR -> RV -> VI -> IA (IOVVRVIA)  [COUNT 5]
Sequence IO -> OV -> VV -> VR -> RV -> VI -> IA -> AQ (IOVVRVIAQ)  [COUNT 5]
Sequence IO -> OV -> VV -> VR -> RV -> VI -> IA -> AQ -> QF (IOVVRVIAQF)  [COUNT 5]
Sequence BH -> HK (BHK)  [COUNT 29]
Sequence KC -> CL (KCL)  [COUNT 35]
Sequence JG -> GA (JGA)  [COUNT 31]
Sequence JG -> GA -> AL (JGAL)  [COUNT 23]
Sequence JG -> GA -> AL -> LL (JGALL)  [COUNT 16]
Sequence JG -> GA -> AL -> LL -> LB (JGALLB)  [COUNT 8]
Sequence WR -> RD (WRD)  [COUNT 29]
Sequence WR -> RD -> DI (WRDI)  [COUNT 22]
