Point	Label	1	2	3	4	5
1	L	0	1	1	0	0
2	I	0	1	0	0	1
3	O	0	1	1	1	1
4	V	1	0	1	1	0
5	V	1	0	1	1	0
6	R	1	0	0	1	0
7	V	1	0	1	1	0
8	I	0	1	0	0	1
9	A	0	0	0	0	1
10	Q	1	0	0	0	1
11	F	0	0	1	1	0
12	R	1	0	0	1	0
13	V	1	0	1	1	0
14	K	0	1	0	1	1
15	C	0	0	0	1	1
16	N	0	1	1	1	0
17	M	0	1	1	0	1
18	B	0	0	0	1	0
19	K	0	1	0	1	1
20	D	0	0	1	0	0
21	K	0	1	0	1	1
22	C	0	0	0	1	1
23	S	1	0	0	1	1
24	G	0	0	1	1	1
25	Q	1	0	0	0	1
26	Z	1	1	0	0	0
27	Z	1	1	0	0	0
28	S	1	0	0	1	1
29	F	0	0	1	1	0
30	N	0	1	1	1	0
31	C	0	0	0	1	1
32	G	0	0	1	1	1
33	L	0	1	1	0	0
34	L	0	1	1	0	0
35	E	0	0	1	0	1
36	B	0	0	0	1	0
37	N	0	1	1	1	0
38	H	0	1	0	0	0
39	O	0	1	1	1	1
40	V	1	0	1	1	0
41	W	1	0	1	1	1
42	S	1	0	0	1	1
43	Q	1	0	0	0	1
44	N	0	1	1	1	0
45	C	0	0	0	1	1
46	N	0	1	1	1	0
47	N	0	1	1	1	0
48	K	0	1	0	1	1
49	R	1	0	0	1	0
50	V	1	0	1	1	0
51	U	1	0	1	0	1
52	Q	1	0	0	0	1
53	S	1	0	0	1	1
54	N	0	1	1	1	0
55	W	1	0	1	1	1
56	C	0	0	0	1	1
57	G	0	0	1	1	1
58	A	0	0	0	0	1
59	L	0	1	1	0	0
60	E	0	0	1	0	1
61	R	1	0	0	1	0
62	U	1	0	1	0	1
63	L	0	1	1	0	0
64	A	0	0	0	0	1
65	L	0	1	1	0	0
66	L	0	1	1	0	0
67	I	0	1	0	0	1
68	O	0	1	1	1	1
69	V	1	0	1	1	0
70	W	1	0	1	1	1
71	S	1	0	0	1	1
72	Q	1	0	0	0	1
73	L	0	1	1	0	0
74	U	1	0	1	0	1
75	A	0	0	0	0	1
76	F	0	0	1	1	0
77	C	0	0	0	1	1
78	N	0	1	1	1	0
79	H	0	1	0	0	0
80	O	0	1	1	1	1
81	V	1	0	1	1	0
82	V	1	0	1	1	0
83	R	1	0	0	1	0
84	W	1	0	1	1	1
85	K	0	1	0	1	1
86	N	0	1	1	1	0
87	N	0	1	1	1	0
88	J	0	1	0	1	0
89	G	0	0	1	1	1
90	B	0	0	0	1	0
91	H	0	1	0	0	0
92	K	0	1	0	1	1
93	W	1	0	1	1	1
94	S	1	0	0	1	1
95	H	0	1	0	0	0
96	R	1	0	0	1	0
97	D	0	0	1	0	0
98	J	0	1	0	1	0
99	Z	1	1	0	0	0
100	Q	1	0	0	0	1
101	U	1	0	1	0	1
102	O	0	1	1	1	1
103	D	0	0	1	0	0
104	L	0	1	1	0	0
105	L	0	1	1	0	0
106	B	0	0	0	1	0
107	N	0	1	1	1	0
108	M	0	1	1	0	1
109	B	0	0	0	1	0
110	H	0	1	0	0	0
111	I	0	1	0	0	1
112	L	0	1	1	0	0
113	L	0	1	1	0	0
114	J	0	1	0	1	0
115	F	0	0	1	1	0
116	C	0	0	0	1	1
117	L	0	1	1	0	0
118	A	0	0	0	0	1
119	S	1	0	0	1	1
120	Q	1	0	0	0	1
121	N	0	1	1	1	0
122	C	0	0	0	1	1
123	L	0	1	1	0	0
124	I	0	1	0	0	1
125	Q	1	0	0	0	1
126	H	0	1	0	0	0
127	O	0	1	1	1	1
128	W	1	0	1	1	1
129	N	0	1	1	1	0
130	C	0	0	0	1	1
131	N	0	1	1	1	0
132	N	0	1	1	1	0
133	K	0	1	0	1	1
134	S	1	0	0	1	1
135	F	0	0	1	1	0
136	N	0	1	1	1	0
137	D	0	0	1	0	0
138	L	0	1	1	0	0
139	E	0	0	1	0	1
140	R	1	0	0	1	0
141	U	1	0	1	0	1
142	L	0	1	1	0	0
143	A	0	0	0	0	1
144	N	0	1	1	1	0
145	K	0	1	0	1	1
146	S	1	0	0	1	1
147	E	0	0	1	0	1
148	R	1	0	0	1	0
149	U	1	0	1	0	1
150	L	0	1	1	0	0
151	A	0	0	0	0	1
152	N	0	1	1	1	0
153	I	0	1	0	0	1
154	L	0	1	1	0	0
155	L	0	1	1	0	0
156	I	0	1	0	0	1
157	Q	1	0	0	0	1
158	H	0	1	0	0	0
159	P	1	0	0	0	0
160	K	0	1	0	1	1
161	N	0	1	1	1	0
162	N	0	1	1	1	0
163	J	0	1	0	1	0
164	G	0	0	1	1	1
165	A	0	0	0	0	1
166	L	0	1	1	0	0
167	L	0	1	1	0	0
168	E	0	0	1	0	1
169	B	0	0	0	1	0
170	N	0	1	1	1	0
171	H	0	1	0	0	0
172	O	0	1	1	1	1
173	W	1	0	1	1	1
174	N	0	1	1	1	0
175	C	0	0	0	1	1
176	L	0	1	1	0	0
177	I	0	1	0	0	1
178	Q	1	0	0	0	1
179	H	0	1	0	0	0
180	P	1	0	0	0	0
181	K	0	1	0	1	1
182	N	0	1	1	1	0
183	N	0	1	1	1	0
184	J	0	1	0	1	0
185	G	0	0	1	1	1
186	A	0	0	0	0	1
187	L	0	1	1	0	0
188	L	0	1	1	0	0
189	E	0	0	1	0	1
190	B	0	0	0	1	0
191	N	0	1	1	1	0
192	H	0	1	0	0	0
193	P	1	0	0	0	0
194	J	0	1	0	1	0
195	F	0	0	1	1	0
196	C	0	0	0	1	1
197	X	0	0	0	0	0
198	X	0	0	0	0	0
199	L	0	1	1	0	0
200	I	0	1	0	0	1
201	O	0	1	1	1	1
202	V	1	0	1	1	0
203	V	1	0	1	1	0
204	R	1	0	0	1	0
205	V	1	0	1	1	0
206	I	0	1	0	0	1
207	A	0	0	0	0	1
208	Q	1	0	0	0	1
209	F	0	0	1	1	0
210	R	1	0	0	1	0
211	V	1	0	1	1	0
212	K	0	1	0	1	1
213	C	0	0	0	1	1
214	N	0	1	1	1	0
215	N	0	1	1	1	0
216	K	0	1	0	1	1
217	W	1	0	1	1	1
218	R	1	0	0	1	0
219	D	0	0	1	0	0
220	I	0	1	0	0	1
221	A	0	0	0	0	1
222	N	0	1	1	1	0
223	K	0	1	0	1	1
224	W	1	0	1	1	1
225	S	1	0	0	1	1
226	G	0	0	1	1	1
227	Q	1	0	0	0	1
228	Z	1	1	0	0	0
229	W	1	0	1	1	1
230	D	0	0	1	0	0
231	Z	1	1	0	0	0
232	S	1	0	0	1	1
233	F	0	0	1	1	0
234	N	0	1	1	1	0
235	C	0	0	0	1	1
236	G	0	0	1	1	1
237	L	0	1	1	0	0
238	L	0	1	1	0	0
239	E	0	0	1	0	1
240	B	0	0	0	1	0
241	N	0	1	1	1	0
242	H	0	1	0	0	0
243	O	0	1	1	1	1
244	V	1	0	1	1	0
245	W	1	0	1	1	1
246	S	1	0	0	1	1
247	Q	1	0	0	0	1
248	N	0	1	1	1	0
249	D	0	0	1	0	0
250	L	0	1	1	0	0
251	U	1	0	1	0	1
252	A	0	0	0	0	1
253	F	0	0	1	1	0
254	C	0	0	0	1	1
255	N	0	1	1	1	0
256	H	0	1	0	0	0
257	O	0	1	1	1	1
258	W	1	0	1	1	1
259	N	0	1	1	1	0
260	C	0	0	0	1	1
261	N	0	1	1	1	0
262	N	0	1	1	1	0
263	K	0	1	0	1	1
264	R	1	0	0	1	0
265	V	1	0	1	1	0
266	W	1	0	1	1	1
267	Z	1	1	0	0	0
268	Z	1	1	0	0	0
269	Q	1	0	0	0	1
270	H	0	1	0	0	0
271	Q	1	0	0	0	1
272	H	0	1	0	0	0
273	O	0	1	1	1	1
274	W	1	0	1	1	1
275	N	0	1	1	1	0
276	C	0	0	0	1	1
277	N	0	1	1	1	0
278	N	0	1	1	1	0
279	K	0	1	0	1	1
280	S	1	0	0	1	1
281	F	0	0	1	1	0
282	N	0	1	1	1	0
283	D	0	0	1	0	0
284	L	0	1	1	0	0
285	E	0	0	1	0	1
286	R	1	0	0	1	0
287	V	1	0	1	1	0
288	W	1	0	1	1	1
289	W	1	0	1	1	1
290	R	1	0	0	1	0
291	B	0	0	0	1	0
292	N	0	1	1	1	0
293	M	0	1	1	0	1
294	B	0	0	0	1	0
295	H	0	1	0	0	0
296	K	0	1	0	1	1
297	K	0	1	0	1	1
298	S	1	0	0	1	1
299	H	0	1	0	0	0
300	R	1	0	0	1	0
301	D	0	0	1	0	0
302	J	0	1	0	1	0
303	Z	1	1	0	0	0
304	Q	1	0	0	0	1
305	Z	1	1	0	0	0
306	Z	1	1	0	0	0
307	S	1	0	0	1	1
308	F	0	0	1	1	0
309	M	0	1	1	0	1
310	B	0	0	0	1	0
311	H	0	1	0	0	0
312	D	0	0	1	0	0
313	U	1	0	1	0	1
314	L	0	1	1	0	0
315	A	0	0	0	0	1
316	N	0	1	1	1	0
317	K	0	1	0	1	1
318	S	1	0	0	1	1
319	E	0	0	1	0	1
320	R	1	0	0	1	0
321	U	1	0	1	0	1
322	L	0	1	1	0	0
323	A	0	0	0	0	1
324	N	0	1	1	1	0
325	K	0	1	0	1	1
326	S	1	0	0	1	1
327	F	0	0	1	1	0
328	N	0	1	1	1	0
329	C	0	0	0	1	1
330	G	0	0	1	1	1
331	M	0	1	1	0	1
332	B	0	0	0	1	0
333	H	0	1	0	0	0
334	I	0	1	0	0	1
335	L	0	1	1	0	0
336	L	0	1	1	0	0
337	J	0	1	0	1	0
338	F	0	0	1	1	0
339	C	0	0	0	1	1
340	L	0	1	1	0	0
341	E	0	0	1	0	1
342	B	0	0	0	1	0
343	N	0	1	1	1	0
344	H	0	1	0	0	0
345	O	0	1	1	1	1
346	V	1	0	1	1	0
347	V	1	0	1	1	0
348	R	1	0	0	1	0
349	V	1	0	1	1	0
350	I	0	1	0	0	1
351	A	0	0	0	0	1
352	P	1	0	0	0	0
353	W	1	0	1	1	1
354	K	0	1	0	1	1
355	N	0	1	1	1	0
356	N	0	1	1	1	0
357	J	0	1	0	1	0
358	G	0	0	1	1	1
359	A	0	0	0	0	1
360	L	0	1	1	0	0
361	L	0	1	1	0	0
362	B	0	0	0	1	0
363	N	0	1	1	1	0
364	M	0	1	1	0	1
365	B	0	0	0	1	0
366	H	0	1	0	0	0
367	I	0	1	0	0	1
368	L	0	1	1	0	0
369	L	0	1	1	0	0
370	J	0	1	0	1	0
371	F	0	0	1	1	0
372	C	0	0	0	1	1
373	X	0	0	0	0	0
374	X	0	0	0	0	0
375	L	0	1	1	0	0
376	J	0	1	0	1	0
377	F	0	0	1	1	0
378	D	0	0	1	0	0
379	F	0	0	1	1	0
380	C	0	0	0	1	1
381	L	0	1	1	0	0
382	E	0	0	1	0	1
383	B	0	0	0	1	0
384	N	0	1	1	1	0
385	H	0	1	0	0	0
386	O	0	1	1	1	1
387	V	1	0	1	1	0
388	W	1	0	1	1	1
389	R	1	0	0	1	0
390	B	0	0	0	1	0
391	N	0	1	1	1	0
392	M	0	1	1	0	1
393	B	0	0	0	1	0
394	H	0	1	0	0	0
395	K	0	1	0	1	1
396	W	1	0	1	1	1
397	R	1	0	0	1	0
398	D	0	0	1	0	0
399	I	0	1	0	0	1
400	A	0	0	0	0	1
401	L	0	1	1	0	0
402	L	0	1	1	0	0
403	I	0	1	0	0	1
404	U	1	0	1	0	1
405	O	0	1	1	1	1
406	B	0	0	0	1	0
407	K	0	1	0	1	1
408	C	0	0	0	1	1
409	L	0	1	1	0	0
410	I	0	1	0	0	1
411	Z	1	1	0	0	0
412	S	1	0	0	1	1
413	Z	1	1	0	0	0
414	Z	1	1	0	0	0
415	Q	1	0	0	0	1
416	G	0	0	1	1	1
417	L	0	1	1	0	0
418	A	0	0	0	0	1
419	F	0	0	1	1	0
420	N	0	1	1	1	0
421	N	0	1	1	1	0
422	H	0	1	0	0	0
423	D	0	0	1	0	0
424	L	0	1	1	0	0
425	E	0	0	1	0	1
426	R	1	0	0	1	0
427	W	1	0	1	1	1
428	C	0	0	0	1	1
429	G	0	0	1	1	1
430	A	0	0	0	0	1
431	L	0	1	1	0	0
432	E	0	0	1	0	1
433	R	1	0	0	1	0
434	U	1	0	1	0	1
435	L	0	1	1	0	0
436	A	0	0	0	0	1
437	N	0	1	1	1	0
438	K	0	1	0	1	1
439	T	1	0	1	0	0
440	I	0	1	0	0	1
441	L	0	1	1	0	0
442	L	0	1	1	0	0
443	I	0	1	0	0	1
444	O	0	1	1	1	1
445	V	1	0	1	1	0
446	W	1	0	1	1	1
447	S	1	0	0	1	1
448	Q	1	0	0	0	1
449	L	0	1	1	0	0
450	U	1	0	1	0	1
451	A	0	0	0	0	1
452	F	0	0	1	1	0
453	C	0	0	0	1	1
454	N	0	1	1	1	0
455	H	0	1	0	0	0
456	O	0	1	1	1	1
457	V	1	0	1	1	0
458	W	1	0	1	1	1
459	S	1	0	0	1	1
460	Q	1	0	0	0	1
461	N	0	1	1	1	0
462	C	0	0	0	1	1
463	N	0	1	1	1	0
464	N	0	1	1	1	0
465	K	0	1	0	1	1
466	S	1	0	0	1	1
467	F	0	0	1	1	0
468	N	0	1	1	1	0
469	C	0	0	0	1	1
470	G	0	0	1	1	1
471	M	0	1	1	0	1
472	B	0	0	0	1	0
473	H	0	1	0	0	0
474	K	0	1	0	1	1
475	R	1	0	0	1	0
476	V	1	0	1	1	0
477	V	1	0	1	1	0
478	O	0	1	1	1	1
479	V	1	0	1	1	0
480	K	0	1	0	1	1
481	C	0	0	0	1	1
482	S	1	0	0	1	1
483	G	0	0	1	1	1
484	O	0	1	1	1	1
485	V	1	0	1	1	0
486	I	0	1	0	0	1
487	A	0	0	0	0	1
488	L	0	1	1	0	0
489	L	0	1	1	0	0
490	J	0	1	0	1	0
491	F	0	0	1	1	0
492	D	0	0	1	0	0
493	E	0	0	1	0	1
494	I	0	1	0	0	1
495	U	1	0	1	0	1
496	O	0	1	1	1	1
497	B	0	0	0	1	0
498	K	0	1	0	1	1
499	C	0	0	0	1	1
500	L	0	1	1	0	0
501	L	0	1	1	0	0
502	V	1	0	1	1	0
503	I	0	1	0	0	1
504	A	0	0	0	0	1
505	Q	1	0	0	0	1
506	F	0	0	1	1	0
507	X	0	0	0	0	0
508	X	0	0	0	0	0
509	L	0	1	1	0	0
510	I	0	1	0	0	1
511	O	0	1	1	1	1
512	V	1	0	1	1	0
513	V	1	0	1	1	0
514	R	1	0	0	1	0
515	V	1	0	1	1	0
516	I	0	1	0	0	1
517	A	0	0	0	0	1
