Point	Label	1	2	3	4	5		
212	K	0	1	0	1	1		
213	D	0	0	1	0	0		
214	I	0	1	0	0	1		
215	B	0	0	0	1	0		
216	K	0	1	0	1	1		
217	C	0	0	0	1	1		
218	S	1	0	0	1	1		
219	H	0	1	0	0	0		
220	R	1	0	0	1	0		
221	D	0	0	1	0	0		
222	I	0	1	0	0	1		
223	A	0	0	0	0	1		
224	L	0	1	1	0	0		
225	L	0	1	1	0	0		
226	I	0	1	0	0	1		
227	U	1	0	1	0	1		
228	O	0	1	1	1	1		
229	B	0	0	0	1	0		
230	K	0	1	0	1	1		
231	C	0	0	0	1	1		
232	M	0	1	1	0	1		
233	D	0	0	1	0	0		
234	J	0	1	0	1	0		
235	Z	1	1	0	0	0		
236	S	1	0	0	1	1		
237	Z	1	1	0	0	0		
238	U	1	0	1	0	1		
239	A	0	0	0	0	1		
240	F	0	0	1	1	0		
241	C	0	0	0	1	1		
242	M	0	1	1	0	1		
243	C	0	0	0	1	1		
244	L	0	1	1	0	0		
245	A	0	0	0	0	1		
246	F	0	0	1	1	0		
247	N	0	1	1	1	0		
248	N	0	1	1	1	0		
249	H	0	1	0	0	0		
250	D	0	0	1	0	0		
251	L	0	1	1	0	0		
252	E	0	0	1	0	1		
253	R	1	0	0	1	0		
254	U	1	0	1	0	1		
255	L	0	1	1	0	0		
256	A	0	0	0	0	1		
257	N	0	1	1	1	0		
258	K	0	1	0	1	1		
259	T	1	0	1	0	0		
260	I	0	1	0	0	1		
261	L	0	1	1	0	0		
262	L	0	1	1	0	0		
263	I	0	1	0	0	1		
264	O	0	1	1	1	1		
265	W	1	0	1	1	1		
266	N	0	1	1	1	0		
267	C	0	0	0	1	1		
268	M	0	1	1	0	1		
269	D	0	0	1	0	0		
270	L	0	1	1	0	0		
271	U	1	0	1	0	1		
272	A	0	0	0	0	1		
273	F	0	0	1	1	0		
274	D	0	0	1	0	0		
275	F	0	0	1	1	0		
276	C	0	0	0	1	1		
277	N	0	1	1	1	0		
278	H	0	1	0	0	0		
279	P	1	0	0	0	0		
280	K	0	1	0	1	1		
281	N	0	1	1	1	0		
282	N	0	1	1	1	0		
283	J	0	1	0	1	0		
284	H	0	1	0	0	0		
285	J	0	1	0	1	0		
286	G	0	0	1	1	1		
287	A	0	0	0	0	1		
288	L	0	1	1	0	0		
289	L	0	1	1	0	0		
290	E	0	0	1	0	1		
291	B	0	0	0	1	0		
292	N	0	1	1	1	0		
293	H	0	1	0	0	0		
294	O	0	1	1	1	1		
295	W	1	0	1	1	1		
