Point	Label	1	2	3	4	5
1	M	0	1	1	0	1
2	D	0	0	1	0	0
3	L	0	1	1	0	0
4	U	1	0	1	0	1
5	A	0	0	0	0	1
6	F	0	0	1	1	0
7	C	0	0	0	1	1
8	L	0	1	1	0	0
9	A	0	0	0	0	1
10	F	0	0	1	1	0
11	N	0	1	1	1	0
12	L	0	1	1	0	0
13	M	0	1	1	0	1
14	D	0	0	1	0	0
15	E	0	0	1	0	1
16	I	0	1	0	0	1
17	Q	1	0	0	0	1
18	G	0	0	1	1	1
19	H	0	1	0	0	0
20	O	0	1	1	1	1
21	W	1	0	1	1	1
22	N	0	1	1	1	0
23	C	0	0	0	1	1
24	L	0	1	1	0	0
25	N	0	1	1	1	0
26	N	0	1	1	1	0
27	J	0	1	0	1	0
28	G	0	0	1	1	1
29	A	0	0	0	0	1
30	N	0	1	1	1	0
31	H	0	1	0	0	0
32	D	0	0	1	0	0
33	L	0	1	1	0	0
34	F	0	0	1	1	0
35	M	0	1	1	0	1
36	B	0	0	0	1	0
37	H	0	1	0	0	0
38	D	0	0	1	0	0
39	Z	1	1	0	0	0
40	S	1	0	0	1	1
41	E	0	0	1	0	1
42	R	1	0	0	1	0
43	U	1	0	1	0	1
44	L	0	1	1	0	0
45	A	0	0	0	0	1
46	N	0	1	1	1	0
47	K	0	1	0	1	1
48	R	1	0	0	1	0
49	V	1	0	1	1	0
50	V	1	0	1	1	0
51	O	0	1	1	1	1
52	V	1	0	1	1	0
53	K	0	1	0	1	1
54	C	0	0	0	1	1
55	T	1	0	1	0	0
56	Z	1	1	0	0	0
57	P	1	0	0	0	0
58	H	0	1	0	0	0
59	T	1	0	1	0	0
60	U	1	0	1	0	1
61	J	0	1	0	1	0
62	G	0	0	1	1	1
63	B	0	0	0	1	0
64	H	0	1	0	0	0
65	K	0	1	0	1	1
66	W	1	0	1	1	1
67	R	1	0	0	1	0
68	D	0	0	1	0	0
69	I	0	1	0	0	1
70	A	0	0	0	0	1
71	L	0	1	1	0	0
72	M	0	1	1	0	1
73	D	0	0	1	0	0
74	I	0	1	0	0	1
75	A	0	0	0	0	1
76	P	1	0	0	0	0
77	V	1	0	1	1	0
78	Z	1	1	0	0	0
79	T	1	0	1	0	0
80	E	0	0	1	0	1
81	P	1	0	0	0	0
82	W	1	0	1	1	1
83	J	0	1	0	1	0
84	F	0	0	1	1	0
85	C	0	0	0	1	1
86	L	0	1	1	0	0
87	A	0	0	0	0	1
88	T	1	0	1	0	0
89	V	1	0	1	1	0
90	Z	1	1	0	0	0
91	V	1	0	1	1	0
92	X	0	0	0	0	0
93	X	0	0	0	0	0
94	L	0	1	1	0	0
95	I	0	1	0	0	1
96	O	0	1	1	1	1
97	V	1	0	1	1	0
98	V	1	0	1	1	0
99	T	1	0	1	0	0
100	E	0	0	1	0	1
101	O	0	1	1	1	1
102	B	0	0	0	1	0
103	K	0	1	0	1	1
104	I	0	1	0	0	1
105	A	0	0	0	0	1
106	P	1	0	0	0	0
107	V	1	0	1	1	0
108	J	0	1	0	1	0
109	V	1	0	1	1	0
110	K	0	1	0	1	1
111	C	0	0	0	1	1
112	N	0	1	1	1	0
113	N	0	1	1	1	0
114	K	0	1	0	1	1
115	W	1	0	1	1	1
116	R	1	0	0	1	0
117	D	0	0	1	0	0
118	I	0	1	0	0	1
119	A	0	0	0	0	1
120	N	0	1	1	1	0
121	K	0	1	0	1	1
122	V	1	0	1	1	0
123	K	0	1	0	1	1
124	C	0	0	0	1	1
125	S	1	0	0	1	1
126	G	0	0	1	1	1
127	O	0	1	1	1	1
128	U	1	0	1	0	1
129	I	0	1	0	0	1
130	L	0	1	1	0	0
131	L	0	1	1	0	0
132	J	0	1	0	1	0
133	F	0	0	1	1	0
134	C	0	0	0	1	1
135	N	0	1	1	1	0
136	M	0	1	1	0	1
137	B	0	0	0	1	0
138	H	0	1	0	0	0
139	K	0	1	0	1	1
140	W	1	0	1	1	1
141	S	1	0	0	1	1
142	G	0	0	1	1	1
143	Q	1	0	0	0	1
144	Z	1	1	0	0	0
145	Z	1	1	0	0	0
146	S	1	0	0	1	1
