THRESHOLD NUMBER OF HITS =350
Sequence FC -> CL (FCL)  [COUNT 14]
Sequence FC -> CL -> LE (FCLE)  [COUNT 14]
Sequence FC -> CL -> LE -> EB (FCLEB)  [COUNT 14]
Sequence FC -> CL -> LE -> EB -> BN (FCLEBN)  [COUNT 14]
Sequence FC -> CL -> LE -> EB -> BN -> NH (FCLEBNH)  [COUNT 14]
Sequence FC -> CL -> LE -> EB -> BN -> NH -> HO (FCLEBNHO)  [COUNT 14]
Sequence FC -> CL -> LE -> EB -> BN -> NH -> HO -> OV (FCLEBNHOV)  [COUNT 14]
Sequence FC -> CL -> LE -> EB -> BN -> NH -> HO -> OV -> VW (FCLEBNHOVW)  [COUNT 14]
Sequence FC -> CN -> NH -> HO -> OV -> VW (FCNHOVW)  [COUNT 14]
Sequence FC -> CN -> NH -> HO -> OV -> VW -> WS (FCNHOVWS)  [COUNT 14]
Sequence KW -> WS -> SG (KWSG)  [COUNT 14]
Sequence LA -> AN (LAN)  [COUNT 78]
Sequence LA -> AN -> NK (LANK)  [COUNT 65]
Sequence IA -> AN (IAN)  [COUNT 39]
Sequence IA -> AN -> NK (IANK)  [COUNT 39]
Sequence IA -> AN -> NK -> KW (IANKW)  [COUNT 39]
Sequence IA -> AN -> NK -> KW -> WS (IANKWS)  [COUNT 39]
Sequence IA -> AN -> NK -> KW -> WS -> SG (IANKWSG)  [COUNT 39]
Sequence CG -> GA -> AN (CGAN)  [COUNT 26]
Sequence CG -> GA -> AN -> NC (CGANC)  [COUNT 26]
Sequence CG -> GA -> AN -> NC -> CG (CGANCG)  [COUNT 26]
Sequence LL -> LI (LLI)  [COUNT 40]
Sequence NC -> CL -> LI (NCLI)  [COUNT 31]
Sequence FC -> CN -> NH -> HO -> OW (FCNHOW)  [COUNT 30]
Sequence HO -> OW (HOW)  [COUNT 29]
Sequence CL -> LI (CLI)  [COUNT 7]
Sequence LL -> LE -> EB -> BN -> NH -> HO -> OW (LLEBNHOW)  [COUNT 3]
Sequence IA -> AL (IAL)  [COUNT 25]
Sequence IA -> AL -> LL (IALL)  [COUNT 25]
Sequence IA -> AL -> LL -> LI (IALLI)  [COUNT 17]
Sequence CG -> GA -> AL (CGAL)  [COUNT 24]
Sequence CG -> GA -> AL -> LE (CGALE)  [COUNT 24]
Sequence LA -> AL (LAL)  [COUNT 16]
Sequence LA -> AL -> LL (LALL)  [COUNT 16]
Sequence LA -> AL -> LL -> LI (LALLI)  [COUNT 16]
Sequence GA -> AL (GAL)  [COUNT 32]
Sequence GA -> AL -> LL (GALL)  [COUNT 32]
Sequence GA -> AL -> LL -> LE (GALLE)  [COUNT 24]
Sequence GA -> AL -> LL -> LE -> EB (GALLEB)  [COUNT 24]
Sequence GA -> AL -> LL -> LE -> EB -> BN (GALLEBN)  [COUNT 24]
Sequence GA -> AL -> LL -> LE -> EB -> BN -> NH (GALLEBNH)  [COUNT 24]
Sequence GA -> AL -> LL -> LE -> EB -> BN -> NH -> HO (GALLEBNHO)  [COUNT 16]
Sequence GA -> AL -> LL -> LE -> EB -> BN -> NH -> HO -> OW (GALLEBNHOW)  [COUNT 16]
Sequence KC -> CL (KCL)  [COUNT 10]
Sequence KC -> CN (KCN)  [COUNT 9]
Sequence KC -> CN -> NN (KCNN)  [COUNT 6]
Sequence KC -> CN -> NN -> NK (KCNNK)  [COUNT 6]
Sequence KC -> CN -> NN -> NK -> KW (KCNNKW)  [COUNT 6]
Sequence KC -> CL -> LI (KCLI)  [COUNT 3]
Sequence KC -> CL -> LL (KCLL)  [COUNT 3]
Sequence LA -> AN -> NK -> KS (LANKS)  [COUNT 2]
Sequence NC -> CN -> NN -> NK -> KS (NCNNKS)  [COUNT 1]
